"Date","DFSVX"
"1993-02-26",10000
"1993-03-01",10000
"1993-03-02",10000
"1993-03-03",10000
"1993-03-04",9990
"1993-03-05",9950
"1993-03-08",9980
"1993-03-09",10000
"1993-03-10",10020
"1993-03-11",10040
"1993-03-12",10000
"1993-03-15",10000
"1993-03-16",9990
"1993-03-17",9950
"1993-03-18",9980
"1993-03-19",9960
"1993-03-22",9930
"1993-03-23",9920
"1993-03-24",9890
"1993-03-25",9910
"1993-03-26",9910
"1993-03-29",9890
"1993-03-30",9860
"1993-03-31",9920
"1993-04-01",9940
"1993-04-02",9870
"1993-04-05",9850
"1993-04-06",9810
"1993-04-07",9810
"1993-04-08",9810
"1993-04-12",9860
"1993-04-13",9910
"1993-04-14",9920
"1993-04-15",9930
"1993-04-16",9950
"1993-04-19",9920
"1993-04-20",9860
"1993-04-21",9830
"1993-04-22",9810
"1993-04-23",9770
"1993-04-26",9620
"1993-04-27",9590
"1993-04-28",9640
"1993-04-29",9630
"1993-04-30",9710
"1993-05-03",9740
"1993-05-04",9780
"1993-05-05",9810
"1993-05-06",9810
"1993-05-07",9830
"1993-05-10",9820
"1993-05-11",9850
"1993-05-12",9890
"1993-05-13",9860
"1993-05-14",9850
"1993-05-17",9840
"1993-05-18",9840
"1993-05-19",9850
"1993-05-20",9890
"1993-05-21",9900
"1993-05-24",9880
"1993-05-25",9900
"1993-05-26",9940
"1993-05-27",9980
"1993-05-28",9970
"1993-06-01",9980
"1993-06-02",10020
"1993-06-03",10030
"1993-06-04",10010
"1993-06-07",9980
"1993-06-08",9920
"1993-06-09",9920
"1993-06-10",9910
"1993-06-11",9940
"1993-06-14",9950
"1993-06-15",9950
"1993-06-16",9960
"1993-06-17",9940
"1993-06-18",9900
"1993-06-21",9870
"1993-06-22",9850
"1993-06-23",9840
"1993-06-24",9850
"1993-06-25",9870
"1993-06-28",9920
"1993-06-29",9930
"1993-06-30",9970
"1993-07-01",10020
"1993-07-02",10030
"1993-07-06",10050
"1993-07-07",10070
"1993-07-08",10120
"1993-07-09",10160
"1993-07-12",10180
"1993-07-13",10220
"1993-07-14",10280
"1993-07-15",10280
"1993-07-16",10280
"1993-07-19",10240
"1993-07-20",10230
"1993-07-21",10230
"1993-07-22",10200
"1993-07-23",10230
"1993-07-26",10280
"1993-07-27",10260
"1993-07-28",10270
"1993-07-29",10280
"1993-07-30",10270
"1993-08-02",10330
"1993-08-03",10340
"1993-08-04",10350
"1993-08-05",10340
"1993-08-06",10350
"1993-08-09",10350
"1993-08-10",10370
"1993-08-11",10420
"1993-08-12",10410
"1993-08-13",10400
"1993-08-16",10410
"1993-08-17",10420
"1993-08-18",10440
"1993-08-19",10430
"1993-08-20",10460
"1993-08-23",10450
"1993-08-24",10490
"1993-08-25",10510
"1993-08-26",10520
"1993-08-27",10530
"1993-08-30",10560
"1993-08-31",10600
"1993-09-01",10630
"1993-09-02",10670
"1993-09-03",10700
"1993-09-07",10640
"1993-09-08",10530
"1993-09-09",10590
"1993-09-10",10660
"1993-09-13",10680
"1993-09-14",10630
"1993-09-15",10630
"1993-09-16",10660
"1993-09-17",10670
"1993-09-20",10700
"1993-09-21",10630
"1993-09-22",10700
"1993-09-23",10730
"1993-09-24",10780
"1993-09-27",10850
"1993-09-28",10890
"1993-09-29",10910
"1993-09-30",10970
"1993-10-01",10990
"1993-10-04",11000
"1993-10-05",11010
"1993-10-06",11060
"1993-10-07",11060
"1993-10-08",11060
"1993-10-11",11090
"1993-10-12",11110
"1993-10-13",11180
"1993-10-14",11200
"1993-10-15",11250
"1993-10-18",11250
"1993-10-19",11190
"1993-10-20",11200
"1993-10-21",11190
"1993-10-22",11230
"1993-10-25",11240
"1993-10-26",11200
"1993-10-27",11230
"1993-10-28",11270
"1993-10-29",11340
"1993-11-01",11350
"1993-11-02",11340
"1993-11-03",11250
"1993-11-04",11130
"1993-11-05",11060
"1993-11-08",11120
"1993-11-09",11150
