"Date","DISVX"
"1994-12-29",10000
"1994-12-30",10000
"1995-01-03",10010
"1995-01-04",10010
"1995-01-05",10010
"1995-01-06",10010
"1995-01-09",10010
"1995-01-10",10010
"1995-01-11",10010
"1995-01-12",10020
"1995-01-13",10020
"1995-01-16",10020
"1995-01-17",10020
"1995-01-18",10020
"1995-01-19",10020
"1995-01-20",10010
"1995-01-23",9890
"1995-01-24",9870
"1995-01-25",9930
"1995-01-26",9900
"1995-01-27",9910
"1995-01-30",10010
"1995-01-31",9930
"1995-02-01",9890
"1995-02-02",9880
"1995-02-03",9800
"1995-02-06",9840
"1995-02-07",9820
"1995-02-08",9780
"1995-02-09",9770
"1995-02-10",9780
"1995-02-13",9810
"1995-02-14",9780
"1995-02-15",9770
"1995-02-16",9800
"1995-02-17",9840
"1995-02-21",9850
"1995-02-22",9830
"1995-02-23",9840
"1995-02-24",9810
"1995-02-27",9740
"1995-02-28",9780
"1995-03-01",9750
"1995-03-02",9820
"1995-03-03",9930
"1995-03-06",10050
"1995-03-07",10080
"1995-03-08",9990
"1995-03-09",10010
"1995-03-10",9890
"1995-03-13",9900
"1995-03-14",9830
"1995-03-15",9960
"1995-03-16",9890
"1995-03-17",9890
"1995-03-20",9860
"1995-03-21",9870
"1995-03-22",9870
"1995-03-23",9850
"1995-03-24",9800
"1995-03-27",9770
"1995-03-28",9890
"1995-03-29",10080
"1995-03-30",10030
"1995-03-31",10250
"1995-04-03",9960
"1995-04-04",9920
"1995-04-05",9960
"1995-04-06",10030
"1995-04-07",10060
"1995-04-10",10150
"1995-04-11",10160
"1995-04-12",10160
"1995-04-13",10250
"1995-04-17",10350
"1995-04-18",10370
"1995-04-19",10410
"1995-04-20",10360
"1995-04-21",10410
"1995-04-24",10400
"1995-04-25",10480
"1995-04-26",10370
"1995-04-27",10400
"1995-04-28",10360
"1995-05-01",10370
"1995-05-02",10410
"1995-05-03",10460
"1995-05-04",10500
"1995-05-05",10450
"1995-05-08",10540
"1995-05-09",10520
"1995-05-10",10460
"1995-05-11",10310
"1995-05-12",10250
"1995-05-15",10230
"1995-05-16",10250
"1995-05-17",10230
"1995-05-18",10140
"1995-05-19",10090
"1995-05-22",10040
"1995-05-23",10080
"1995-05-24",10090
"1995-05-25",10250
"1995-05-26",10380
"1995-05-30",10350
"1995-05-31",10170
"1995-06-01",10170
"1995-06-02",10260
"1995-06-05",10310
"1995-06-06",10280
"1995-06-07",10290
"1995-06-08",10210
"1995-06-09",10160
"1995-06-12",10080
"1995-06-13",9990
"1995-06-14",9990
"1995-06-15",9940
"1995-06-16",9990
"1995-06-19",9990
"1995-06-20",10000
"1995-06-21",10030
"1995-06-22",10010
"1995-06-23",10080
"1995-06-26",10070
"1995-06-27",10030
"1995-06-28",9890
"1995-06-29",9960
"1995-06-30",9980
"1995-07-03",9960
"1995-07-05",10090
"1995-07-06",10150
"1995-07-07",10240
"1995-07-10",10300
"1995-07-11",10300
"1995-07-12",10380
"1995-07-13",10470
"1995-07-14",10420
"1995-07-17",10420
"1995-07-18",10410
"1995-07-19",10330
"1995-07-20",10340
"1995-07-21",10340
"1995-07-24",10410
"1995-07-25",10350
"1995-07-26",10360
"1995-07-27",10380
"1995-07-28",10390
"1995-07-31",10370
"1995-08-01",10370
"1995-08-02",10270
"1995-08-03",10380
"1995-08-04",10360
"1995-08-07",10310
"1995-08-08",10280
"1995-08-09",10300
"1995-08-10",10190
"1995-08-11",10140
"1995-08-14",10160
"1995-08-15",10040
"1995-08-16",10110
"1995-08-17",10100
"1995-08-18",10130
"1995-08-21",10150
"1995-08-22",10150
"1995-08-23",10110
"1995-08-24",10130
"1995-08-25",10130
"1995-08-28",10180
"1995-08-29",10160
"1995-08-30",10100
"1995-08-31",10110
"1995-09-01",10120
"1995-09-05",10070
"1995-09-06",10010
"1995-09-07",10020
"1995-09-08",10020
"1995-09-11",10090
"1995-09-12",10060
"1995-09-13",9960
"1995-09-14",9980
"1995-09-15",9960
"1995-09-18",9900
"1995-09-19",9850
"1995-09-20",9890
"1995-09-21",10020
"1995-09-22",10040
"1995-09-25",9940
"1995-09-26",9900
"1995-09-27",9940
"1995-09-28",9970
"1995-09-29",9960
"1995-10-02",9900
"1995-10-03",9840
"1995-10-04",9910
"1995-10-05",9930
"1995-10-06",9920
"1995-10-09",9940
"1995-10-10",9870
"1995-10-11",9820
"1995-10-12",9860
"1995-10-13",9820
"1995-10-16",9860
"1995-10-17",9840
"1995-10-18",9790
"1995-10-19",9810
"1995-10-20",9870
"1995-10-23",9860
"1995-10-24",9810
"1995-10-25",9780
"1995-10-26",9690
"1995-10-27",9660
"1995-10-30",9640
"1995-10-31",9640
"1995-11-01",9580
"1995-11-02",9630
"1995-11-03",9620
"1995-11-06",9650
"1995-11-07",9610
"1995-11-08",9640
"1995-11-09",9670
"1995-11-10",9690
"1995-11-13",9630
"1995-11-14",9620
"1995-11-15",9650
"1995-11-16",9610
"1995-11-17",9660
"1995-11-20",9720
"1995-11-21",9740
"1995-11-22",9740
"1995-11-24",9710
"1995-11-27",9719
"1995-11-28",9749.15
"1995-11-29",9729.05
"1995-11-30",9729.05
"1995-12-01",9799.41
"1995-12-04",9839.61
"1995-12-05",9839.61
"1995-12-06",9839.61
"1995-12-07",9859.71
"1995-12-08",9849.66
"1995-12-11",9869.76
"1995-12-12",9829.56
"1995-12-13",9819.51
"1995-12-14",9889.86
"1995-12-15",9889.86
"1995-12-18",9930.06
"1995-12-19",9849.66
"1995-12-20",9899.91
"1995-12-21",9909.96
"1995-12-22",9940.11
"1995-12-26",10050.67
"1995-12-27",10105.95
"1995-12-28",10105.95
"1995-12-29",10116.01
"1996-01-02",10116.01
"1996-01-03",10146.17
"1996-01-04",10126.06
"1996-01-05",10256.79
"1996-01-08",10276.9
"1996-01-09",10337.23
"1996-01-10",10327.18
"1996-01-11",10307.06
"1996-01-12",10327.18
"1996-01-15",10317.12
"1996-01-16",10297.01
"1996-01-17",10266.84
"1996-01-18",10186.4
"1996-01-19",10176.34
"1996-01-22",10146.17
"1996-01-23",10136.12
"1996-01-24",10095.9
"1996-01-25",10126.06
"1996-01-26",10126.06
"1996-01-29",10186.4
"1996-01-30",10206.51
"1996-01-31",10317.12
"1996-02-01",10387.51
"1996-02-02",10437.79
"1996-02-05",10548.4
"1996-02-06",10518.23
"1996-02-07",10508.18
"1996-02-08",10457.9
"1996-02-09",10447.84
"1996-02-12",10457.9
"1996-02-13",10417.68
"1996-02-14",10457.9
"1996-02-15",10467.96
"1996-02-16",10478.01
"1996-02-20",10437.79
"1996-02-21",10427.73
"1996-02-22",10437.79
"1996-02-23",10437.79
"1996-02-26",10488.07
"1996-02-27",10467.96
"1996-02-28",10467.96
"1996-02-29",10427.73
"1996-03-01",10417.68
"1996-03-04",10447.84
"1996-03-05",10457.9
"1996-03-06",10427.73
"1996-03-07",10387.51
"1996-03-08",10347.29
"1996-03-11",10246.73
"1996-03-12",10286.95
"1996-03-13",10276.9
"1996-03-14",10276.9
"1996-03-15",10317.12
"1996-03-18",10337.23
"1996-03-19",10387.51
"1996-03-20",10387.51
"1996-03-21",10417.68
"1996-03-22",10397.57
"1996-03-25",10447.84
"1996-03-26",10467.96
"1996-03-27",10478.01
"1996-03-28",10548.4
"1996-03-29",10568.51
"1996-04-01",10588.62
"1996-04-02",10628.85
"1996-04-03",10679.12
"1996-04-04",10689.18
"1996-04-08",10689.18
"1996-04-09",10659.01
"1996-04-10",10648.96
"1996-04-11",10659.01
"1996-04-12",10679.12
"1996-04-15",10709.29
"1996-04-16",10739.46
"1996-04-17",10739.46
"1996-04-18",10809.85
"1996-04-19",10890.29
"1996-04-22",10970.74
"1996-04-23",11010.96
"1996-04-24",11031.07
"1996-04-25",11061.24
"1996-04-26",11111.52
"1996-04-29",11171.85
"1996-04-30",11121.57
"1996-05-01",11121.57
"1996-05-02",11191.96
"1996-05-03",11171.85
"1996-05-06",11191.96
"1996-05-07",11191.96
"1996-05-08",11222.13
"1996-05-09",11202.02
"1996-05-10",11202.02
"1996-05-13",11181.91
"1996-05-14",11141.69
"1996-05-15",11171.85
"1996-05-16",11232.19
"1996-05-17",11252.3
"1996-05-20",11222.13
"1996-05-21",11191.96
"1996-05-22",11171.85
"1996-05-23",11161.8
"1996-05-24",11141.69
"1996-05-28",11081.35
"1996-05-29",11121.57
"1996-05-30",11171.85
"1996-05-31",11181.91
"1996-06-03",11031.07
"1996-06-04",11021.02
"1996-06-05",11031.07
"1996-06-06",10990.85
"1996-06-07",10940.57
"1996-06-10",10920.46
"1996-06-11",10900.35
"1996-06-12",10950.63
"1996-06-13",10930.52
"1996-06-14",11000.91
"1996-06-17",11041.13
"1996-06-18",11101.46
"1996-06-19",11081.35
"1996-06-20",11051.18
"1996-06-21",11010.96
"1996-06-24",11041.13
"1996-06-25",11041.13
"1996-06-26",11021.02
"1996-06-27",11021.02
"1996-06-28",11031.07
"1996-07-01",11021.02
"1996-07-02",10990.85
"1996-07-03",10960.68
"1996-07-05",10910.4
"1996-07-08",10819.9
"1996-07-09",10850.07
"1996-07-10",10850.07
"1996-07-11",10860.13
"1996-07-12",10779.68
"1996-07-15",10759.57
"1996-07-16",10729.4
"1996-07-17",10739.46
"1996-07-18",10789.74
"1996-07-19",10840.01
"1996-07-22",10799.79
"1996-07-23",10719.35
"1996-07-24",10618.79
"1996-07-25",10628.85
"1996-07-26",10628.85
"1996-07-29",10618.79
"1996-07-30",10548.4
"1996-07-31",10578.57
"1996-08-01",10598.68
"1996-08-02",10608.73
"1996-08-05",10618.79
"1996-08-06",10558.46
"1996-08-07",10498.12
"1996-08-08",10518.23
"1996-08-09",10488.07
"1996-08-12",10478.01
"1996-08-13",10498.12
"1996-08-14",10508.18
"1996-08-15",10548.4
"1996-08-16",10558.46
"1996-08-19",10578.57
"1996-08-20",10598.68
"1996-08-21",10638.9
"1996-08-22",10628.85
"1996-08-23",10648.96
"1996-08-26",10669.07
"1996-08-27",10648.96
"1996-08-28",10598.68
"1996-08-29",10548.4
"1996-08-30",10528.29
"1996-09-03",10488.07
"1996-09-04",10498.12
"1996-09-05",10528.29
"1996-09-06",10467.96
"1996-09-09",10488.07
"1996-09-10",10437.79
"1996-09-11",10417.68
"1996-09-12",10407.62
"1996-09-13",10437.79
"1996-09-16",10478.01
"1996-09-17",10518.23
"1996-09-18",10568.51
"1996-09-19",10538.34
"1996-09-20",10528.29
"1996-09-23",10508.18
"1996-09-24",10508.18
"1996-09-25",10518.23
"1996-09-26",10508.18
"1996-09-27",10508.18
"1996-09-30",10528.29
"1996-10-01",10528.29
"1996-10-02",10518.23
"1996-10-03",10518.23
"1996-10-04",10488.07
"1996-10-07",10498.12
"1996-10-08",10498.12
"1996-10-09",10457.9
"1996-10-10",10457.9
"1996-10-11",10437.79
"1996-10-14",10457.9
"1996-10-15",10447.84
"1996-10-16",10467.96
"1996-10-17",10457.9
"1996-10-18",10528.29
"1996-10-21",10508.18
"1996-10-22",10447.84
"1996-10-23",10417.68
"1996-10-24",10407.62
"1996-10-25",10377.45
"1996-10-28",10377.45
"1996-10-29",10387.51
"1996-10-30",10417.68
"1996-10-31",10397.57
"1996-11-01",10417.68
"1996-11-04",10407.62
"1996-11-05",10397.57
"1996-11-06",10447.84
"1996-11-07",10548.4
"1996-11-08",10558.46
"1996-11-11",10598.68
"1996-11-12",10608.73
"1996-11-13",10588.62
"1996-11-14",10608.73
"1996-11-15",10618.79
"1996-11-18",10648.96
"1996-11-19",10628.85
"1996-11-20",10699.24
"1996-11-21",10699.24
"1996-11-22",10699.24
"1996-11-25",10679.12
"1996-11-26",10659.01
"1996-11-27",10588.62
"1996-11-29",10508.18
"1996-12-02",10488.07
"1996-12-03",10377.45
"1996-12-04",10357.34
"1996-12-05",10427.73
"1996-12-06",10297.01
"1996-12-09",10307.06
"1996-12-10",10357.34
"1996-12-11",10337.23
"1996-12-12",10286.95
"1996-12-13",10196.45
"1996-12-16",10216.56
"1996-12-17",10236.67
"1996-12-18",10216.56
"1996-12-19",10116.01
"1996-12-20",10156.23
"1996-12-23",10176.34
"1996-12-24",10105.95
"1996-12-26",10075.78
"1996-12-27",10106.96
"1996-12-30",10127.95
"1996-12-31",10211.91
"1997-01-02",10190.92
"1997-01-03",10169.93
"1997-01-06",10201.41
"1997-01-07",10232.9
"1997-01-08",10169.93
"1997-01-09",10106.96
"1997-01-10",10012.5
"1997-01-13",10075.47
"1997-01-14",10117.45
"1997-01-15",10148.94
"1997-01-16",10243.4
"1997-01-17",10222.4
"1997-01-20",10148.94
"1997-01-21",10106.96
"1997-01-22",10106.96
"1997-01-23",10054.48
"1997-01-24",10054.48
"1997-01-27",9970.52
"1997-01-28",9907.55
"1997-01-29",9918.04
"1997-01-30",9918.04
"1997-01-31",9960.02
"1997-02-03",9960.02
"1997-02-04",9991.51
"1997-02-05",9960.02
"1997-02-06",9939.03
"1997-02-07",9855.07
"1997-02-10",9981.01
"1997-02-11",9939.03
"1997-02-12",9897.05
"1997-02-13",9876.06
"1997-02-14",9855.07
"1997-02-18",9865.56
"1997-02-19",9823.58
"1997-02-20",9939.03
"1997-02-21",9960.02
"1997-02-24",10075.47
"1997-02-25",10075.47
"1997-02-26",10043.98
"1997-02-27",10054.48
"1997-02-28",10043.98
"1997-03-03",9981.01
"1997-03-04",9970.52
"1997-03-05",9960.02
"1997-03-06",9970.52
"1997-03-07",9939.03
"1997-03-10",10012.5
"1997-03-11",10033.49
"1997-03-12",9960.02
"1997-03-13",9907.55
"1997-03-14",9876.06
"1997-03-17",9876.06
"1997-03-18",9928.54
"1997-03-19",9897.05
"1997-03-20",9813.09
"1997-03-21",9876.06
"1997-03-24",9865.56
"1997-03-25",9865.56
"1997-03-26",9907.55
"1997-03-27",9907.55
"1997-03-31",9960.02
"1997-04-01",9813.09
"1997-04-02",9834.08
"1997-04-03",9792.1
"1997-04-04",9708.14
"1997-04-07",9582.19
"1997-04-08",9540.21
"1997-04-09",9466.74
"1997-04-10",9424.76
"1997-04-11",9414.27
"1997-04-14",9372.29
"1997-04-15",9393.28
"1997-04-16",9445.75
"1997-04-17",9529.72
"1997-04-18",9624.17
"1997-04-21",9739.62
"1997-04-22",9729.13
"1997-04-23",9750.12
"1997-04-24",9760.61
"1997-04-25",9718.63
"1997-04-28",9676.65
"1997-04-29",9687.15
"1997-04-30",9729.13
"1997-05-01",9802.59
"1997-05-02",9802.59
"1997-05-05",9802.59
"1997-05-06",9949.53
"1997-05-07",9970.52
"1997-05-08",9981.01
"1997-05-09",10138.44
"1997-05-12",10211.91
"1997-05-13",10253.89
"1997-05-14",10285.38
"1997-05-15",10327.36
"1997-05-16",10432.31
"1997-05-19",10379.83
"1997-05-20",10495.28
"1997-05-21",10484.79
"1997-05-22",10411.32
"1997-05-23",10442.81
"1997-05-27",10379.83
"1997-05-28",10432.31
"1997-05-29",10400.82
"1997-05-30",10379.83
"1997-06-02",10348.35
"1997-06-03",10390.33
"1997-06-04",10390.33
"1997-06-05",10453.3
"1997-06-06",10484.79
"1997-06-09",10610.73
"1997-06-10",10600.23
"1997-06-11",10631.72
"1997-06-12",10568.75
"1997-06-13",10526.77
"1997-06-16",10610.73
"1997-06-17",10600.23
"1997-06-18",10600.23
"1997-06-19",10589.74
"1997-06-20",10589.74
"1997-06-23",10579.24
"1997-06-24",10558.25
"1997-06-25",10621.23
"1997-06-26",10631.72
"1997-06-27",10558.25
"1997-06-30",10537.26
"1997-07-01",10516.27
"1997-07-02",10526.77
"1997-07-03",10610.73
"1997-07-07",10600.23
"1997-07-08",10558.25
"1997-07-09",10516.27
"1997-07-10",10526.77
"1997-07-11",10495.28
"1997-07-14",10442.81
"1997-07-15",10358.84
"1997-07-16",10348.35
"1997-07-17",10358.84
"1997-07-18",10337.85
"1997-07-21",10327.36
