"Date","GOVT"
"1969-07-01",10000
"1969-07-02",9997.33
"1969-07-03",10021.71
"1969-07-07",10019.01
"1969-07-08",10016.32
"1969-07-09",10002.81
"1969-07-10",10027.2
"1969-07-11",10111.76
"1969-07-14",10081.52
"1969-07-15",10067.83
"1969-07-16",10097.89
"1969-07-17",10106.08
"1969-07-18",10097.81
"1969-07-22",10111.5
"1969-07-23",10103.22
"1969-07-24",10094.97
"1969-07-25",10092.21
"1969-07-28",10078.52
"1969-07-29",10092.18
"1969-07-30",10100.38
"1969-07-31",10147.06
"1969-08-01",10149.76
"1969-08-04",10174.58
"1969-08-05",10188.37
"1969-08-06",10174.42
"1969-08-07",10171.58
"1969-08-08",10157.68
"1969-08-11",10127.32
"1969-08-12",10119.06
"1969-08-13",10121.79
"1969-08-14",10135.51
"1969-08-15",10132.74
"1969-08-18",10151.98
"1969-08-19",10160.22
"1969-08-20",10157.42
"1969-08-21",10149.12
"1969-08-22",10135.35
"1969-08-25",10121.62
"1969-08-26",10097.01
"1969-08-27",10083.42
"1969-08-28",10059.01
"1969-08-29",10061.79
"1969-09-02",10037.5
"1969-09-03",10002.58
"1969-09-04",10000.02
"1969-09-05",9981.41
"1969-09-08",9952.21
"1969-09-09",9955.05
"1969-09-10",9968.55
"1969-09-11",9944.77
"1969-09-12",9926.4
"1969-09-15",9923.97
"1969-09-16",9905.7
"1969-09-17",9898.03
"1969-09-18",9822.31
"1969-09-19",9814.83
"1969-09-22",9817.76
"1969-09-23",9825.88
"1969-09-24",9818.41
"1969-09-25",9810.97
"1969-09-26",9767.38
"1969-09-29",9744.65
"1969-09-30",9722.04
"1969-10-01",9709.72
"1969-10-02",9753.57
"1969-10-03",9787.39
"1969-10-06",9811.01
"1969-10-07",9819.15
"1969-10-08",9848.06
"1969-10-09",9845.8
"1969-10-10",9895.74
"1969-10-13",9898.66
"1969-10-14",9986.05
"1969-10-15",9972.97
"1969-10-16",10034.54
"1969-10-17",10085.85
"1969-10-20",10181.23
"1969-10-21",10222.59
"1969-10-22",10203.29
"1969-10-23",10167.6
"1969-10-24",10170.41
"1969-10-27",10167.75
"1969-10-28",10154.16
"1969-10-29",10162.45
"1969-10-30",10181.71
"1969-10-31",10179.05
"1969-11-03",10198.34
"1969-11-04",10201.16
"1969-11-05",10176.52
"1969-11-06",10146.55
"1969-11-07",10160.31
"1969-11-10",10174.08
"1969-11-11",10176.92
"1969-11-12",10157.89
"1969-11-13",10111.78
"1969-11-14",10147.22
"1969-11-17",10106.63
"1969-11-18",10060.99
"1969-11-19",10069.26
"1969-11-20",10029.29
"1969-11-21",10042.9
"1969-11-24",10067.24
"1969-11-25",10080.89
"1969-11-26",10073.05
"1969-11-28",10108.26
"1969-12-01",10132.79
"1969-12-02",10108.61
"1969-12-03",10079.18
"1969-12-04",10087.47
"1969-12-05",10079.63
"1969-12-08",10061.1
"1969-12-09",10010.67
"1969-12-10",9976.55
"1969-12-11",9968.97
"1969-12-12",9993.07
"1969-12-15",9990.75
"1969-12-16",9941.03
"1969-12-17",9933.55
"1969-12-18",9926.09
"1969-12-19",9944.8
"1969-12-22",9968.81
"1969-12-23",9950.78
"1969-12-24",9922.37
"1969-12-26",9946.3
"1969-12-29",9876.3
"1969-12-30",9915.68
"1969-12-31",9939.59
"1970-01-02",9958.32
"1970-01-05",9956.09
"1970-01-06",9906.85
"1970-01-07",9868.41
"1970-01-08",9892.16
"1970-01-09",9926.4
"1970-01-12",9939.87
"1970-01-13",9948.14
"1970-01-14",9925.07
"1970-01-15",9928.11
"1970-01-16",9983.46
"1970-01-19",9997.01
"1970-01-20",9968.48
"1970-01-21",9971.52
"1970-01-22",9974.56
"1970-01-23",9951.42
"1970-01-26",9944.03
"1970-01-27",9941.87
"1970-01-28",9929.3
"1970-01-29",9875.36
"1970-01-30",9878.45
"1970-02-02",9922.92
"1970-02-03",9946.8
"1970-02-04",9960.31
"1970-02-05",9958.16
"1970-02-06",9992.62
"1970-02-09",10032.52
"1970-02-10",10014.46
"1970-02-11",10017.51
"1970-02-12",10020.57
"1970-02-13",10124.42
"1970-02-16",10127.43
"1970-02-17",10157.3
"1970-02-18",10187.28
"1970-02-19",10217.38
"1970-02-20",10209.49
"1970-02-24",10201.62
"1970-02-25",10264.48
"1970-02-26",10333.43
