"Date","S&P500"
"1969-07-01",10000
"1969-07-02",10088.75
"1969-07-03",10158.14
"1969-07-07",10100.19
"1969-07-08",9958.7
"1969-07-09",9883.43
"1969-07-10",9731.76
"1969-07-11",9772.63
"1969-07-14",9649.48
"1969-07-15",9619.04
"1969-07-16",9715.93
"1969-07-17",9776.15
"1969-07-18",9694.78
"1969-07-22",9550.24
"1969-07-23",9510.63
"1969-07-24",9479.17
"1969-07-25",9404.92
"1969-07-28",9217.61
"1969-07-29",9144.38
"1969-07-30",9191.36
"1969-07-31",9386.05
"1969-08-01",9554.24
"1969-08-04",9506.49
"1969-08-05",9550.41
"1969-08-06",9603.5
"1969-08-07",9611.76
"1969-08-08",9607.81
"1969-08-11",9549.86
"1969-08-12",9476.64
"1969-08-13",9484.91
"1969-08-14",9551.24
"1969-08-15",9619.6
"1969-08-18",9678.8
"1969-08-19",9730.87
"1969-08-20",9732.01
"1969-08-21",9761.66
"1969-08-22",9820.86
"1969-08-25",9721.16
"1969-08-26",9658.12
"1969-08-27",9678.61
"1969-08-28",9720.49
"1969-08-29",9784.78
"1969-09-02",9788.97
"1969-09-03",9733.07
"1969-09-04",9654.76
"1969-09-05",9598.85
"1969-09-08",9504.24
"1969-09-09",9574.64
"1969-09-10",9735.7
"1969-09-11",9662.48
"1969-09-12",9654.45
"1969-09-15",9730.96
"1969-09-16",9740.24
"1969-09-17",9722.03
"1969-09-18",9737.42
"1969-09-19",9767.68
"1969-09-22",9814.13
"1969-09-23",9815.43
"1969-09-24",9803.4
"1969-09-25",9729.79
"1969-09-26",9668.5
"1969-09-29",9592.85
"1969-09-30",9564.39
"1969-10-01",9504.13
"1969-10-02",9579.32
"1969-10-03",9575.49
"1969-10-06",9596.29
"1969-10-07",9567.83
"1969-10-08",9526.04
"1969-10-09",9564.29
"1969-10-10",9619.97
"1969-10-13",9722.86
"1969-10-14",9842.16
"1969-10-15",9845.51
"1969-10-16",9913.51
"1969-10-17",9903.52
"1969-10-20",9925.35
"1969-10-21",10002.58
"1969-10-22",10068.52
"1969-10-23",10031.86
"1969-10-24",10100.88
"1969-10-27",10086.79
"1969-10-28",10056.28
"1969-10-29",9970.37
"1969-10-30",9983.99
"1969-10-31",10004.78
"1969-11-03",10009.16
"1969-11-04",10016.62
"1969-11-05",10062.04
"1969-11-06",10066.42
"1969-11-07",10128.26
"1969-11-10",10136.74
"1969-11-11",10111.37
"1969-11-12",10094.2
"1969-11-13",10047.28
"1969-11-14",10012.67
"1969-11-17",9946.26
"1969-11-18",9945.51
"1969-11-19",9896.54
"1969-11-20",9796.27
"1969-11-21",9737.05
"1969-11-24",9627.55
"1969-11-25",9598.07
"1969-11-26",9633.23
"1969-11-28",9689.93
"1969-12-01",9630.71
"1969-12-02",9573.53
"1969-12-03",9472.24
"1969-12-04",9504.32
"1969-12-05",9483.06
"1969-12-08",9393.05
"1969-12-09",9364.61
"1969-12-10",9358.73
"1969-12-11",9364.14
"1969-12-12",9395.19
"1969-12-15",9368.8
"1969-12-16",9285.98
"1969-12-17",9233.94
"1969-12-18",9379.89
"1969-12-19",9460.35
"1969-12-22",9378.99
"1969-12-23",9344.22
"1969-12-24",9444.03
"1969-12-26",9518.99
"1969-12-29",9454.2
"1969-12-30",9491.9
"1969-12-31",9540.98
"1970-01-02",9639.76
"1970-01-05",9688.84
"1970-01-06",9624.04
"1970-01-07",9605.84
"1970-01-08",9612.47
"1970-01-09",9584.95
"1970-01-12",9513.94
"1970-01-13",9538.18
"1970-01-14",9511.69
"1970-01-15",9516.26
"1970-01-16",9439.05
"1970-01-19",9309.04
"1970-01-20",9329.13
"1970-01-21",9343.02
"1970-01-22",9353.8
"1970-01-23",9285.9
"1970-01-26",9163.14
"1970-01-27",9107.67
"1970-01-28",9023.22
"1970-01-29",8910.81
"1970-01-30",8842.92
"1970-02-02",8919.95
"1970-02-03",9027
"1970-02-04",8973.6
"1970-02-05",8939.87
"1970-02-06",8985.85
"1970-02-09",9057.7
"1970-02-10",8964.96
"1970-02-11",9053.38
"1970-02-12",9033.11
"1970-02-13",9014.9
"1970-02-16",9009.12
"1970-02-17",9000.23
"1970-02-18",9112.45
"1970-02-19",9147.04
"1970-02-20",9176.45
"1970-02-24",9173.77
"1970-02-25",9316.01
"1970-02-26",9270.9
"1970-02-27",9334.46
"1970-03-02",9357.66
"1970-03-03",9412.95
"1970-03-04",9394.75
"1970-03-05",9392.07
"1970-03-06",9335.57
"1970-03-09",9240.77
"1970-03-10",9267.07
"1970-03-11",9262.32
"1970-03-12",9226.52
"1970-03-13",9179.34
"1970-03-16",9082.47
"1970-03-17",9123.27
"1970-03-18",9150.61
"1970-03-19",9139.65
"1970-03-20",9102.9
"1970-03-23",9096.83
"1970-03-24",9201.59
"1970-03-25",9390
"1970-03-26",9406.93
"1970-03-30",9377.86
"1970-03-31",9379.1
"1970-04-01",9426.36
"1970-04-02",9398.33
"1970-04-03",9357.75
"1970-04-06",9293.13
"1970-04-07",9269.28
"1970-04-08",9267.39
"1970-04-09",9272.82
"1970-04-10",9243.75
"1970-04-13",9182.26
"1970-04-14",9105.1
"1970-04-15",9089.62
"1970-04-16",9001.99
"1970-04-17",8981.29
"1970-04-20",8999.26
"1970-04-21",8953.46
"1970-04-22",8838.66
"1970-04-23",8711.31
"1970-04-24",8684.33
"1970-04-27",8548.62
"1970-04-28",8425.46
"1970-04-29",8587.71
"1970-04-30",8558.65
"1970-05-01",8551.53
"1970-05-04",8336.37
"1970-05-05",8257.12
"1970-05-06",8349.32
"1970-05-07",8388.21
"1970-05-08",8348.69
"1970-05-11",8262.12
"1970-05-12",8184.96
"1970-05-13",8048.22
"1970-05-14",7935.51
"1970-05-15",8089.4
"1970-05-18",8096.92
"1970-05-19",7941.36
"1970-05-20",7739.8
"1970-05-21",7598.88
"1970-05-22",7609.54
"1970-05-25",7401.71
"1970-05-26",7302.6
"1970-05-27",7667.66
"1970-05-28",7861.27
"1970-05-29",8065.33
"1970-06-01",8201.43
"1970-06-02",8202.68
"1970-06-03",8275.02
"1970-06-04",8155.01
"1970-06-05",8031.86
"1970-06-08",8045.66
"1970-06-09",8042.73
"1970-06-10",7963.48
"1970-06-11",7857.06
"1970-06-12",7798.73
"1970-06-15",7873.16
"1970-06-16",8038.53
"1970-06-17",8024.1
"1970-06-18",8078.67
"1970-06-19",8136.48
"1970-06-22",8094.37
"1970-06-23",7897.03
"1970-06-24",7814.79
"1970-06-25",7821.25
"1970-06-26",7764.36
"1970-06-29",7704.29
"1970-06-30",7687.53
"1970-07-01",7711.94
"1970-07-02",7711.02
"1970-07-06",7591.82
"1970-07-07",7534.93
"1970-07-08",7723.02
"1970-07-09",7836.13
"1970-07-10",7878.5
"1970-07-13",7890.24
"1970-07-14",7877.7
"1970-07-15",7964.41
"1970-07-16",8082.81
"1970-07-17",8226.54
"1970-07-20",8238.28
"1970-07-21",8153.93
"1970-07-22",8160.4
"1970-07-23",8264
"1970-07-24",8246.18
"1970-07-27",8229.41
"1970-07-28",8243.26
"1970-07-29",8272.96
"1970-07-30",8277.31
"1970-07-31",8276.38
"1970-08-03",8168.8
"1970-08-04",8187.94
"1970-08-05",8188.06
"1970-08-06",8178.69
"1970-08-07",8200.99
"1970-08-10",8088.14
"1970-08-11",8049.2
"1970-08-12",8008.15
"1970-08-13",7939.64
"1970-08-14",7985.17
"1970-08-17",8002.19
"1970-08-18",8095.23
"1970-08-19",8176.66
"1970-08-20",8270.76
"1970-08-21",8419.76
"1970-08-24",8605.71
"1970-08-25",8620.61
"1970-08-26",8631.3
"1970-08-27",8618.75
"1970-08-28",8702.29
"1970-08-31",8667.57
"1970-09-01",8608.57
"1970-09-02",8610.81
"1970-09-03",8731.29
"1970-09-04",8810.6
"1970-09-08",8833.95
"1970-09-09",8808.74
"1970-09-10",8758.19
"1970-09-11",8782.59
"1970-09-14",8736.26
"1970-09-15",8662.49
"1970-09-16",8709.06
"1970-09-17",8763.03
"1970-09-18",8798.8
"1970-09-21",8724.46
"1970-09-22",8720.41
"1970-09-23",8727.01
"1970-09-24",8701.66
"1970-09-25",8827.53
"1970-09-28",8943.82
"1970-09-29",8939.77
"1970-09-30",8987.9
"1970-10-01",8991.3
"1970-10-02",9082.02
"1970-10-05",9222.8
"1970-10-06",9264.54
"1970-10-07",9270.07
"1970-10-08",9171.24
"1970-10-09",9079.86
"1970-10-12",8984.23
"1970-10-13",8973.79
"1970-10-14",8988.9
"1970-10-15",9039.16
"1970-10-16",9001.03
"1970-10-19",8881.97
"1970-10-20",8935.42
"1970-10-21",8938.82
"1970-10-22",8910.28
"1970-10-23",8953.08
"1970-10-26",8905.37
"1970-10-27",8886.41
"1970-10-28",8920.69
"1970-10-29",8914.51
"1970-10-30",8904.07
"1970-11-02",8933.03
"1970-11-03",9009.9
"1970-11-04",9029.28
"1970-11-05",8999.67
"1970-11-06",9013.72
"1970-11-09",9062.91
"1970-11-10",9076.96
"1970-11-11",9103.79
"1970-11-12",9011.35
"1970-11-13",8929.57
"1970-11-16",8917
"1970-11-17",8942.76
"1970-11-18",8871.63
"1970-11-19",8885.68
"1970-11-20",8973.2
"1970-11-23",9029.84
"1970-11-24",9088.61
"1970-11-25",9122.89
"1970-11-27",9213.6
"1970-11-30",9350.1
"1970-12-01",9380.12
"1970-12-02",9488.93
"1970-12-03",9534.92
"1970-12-04",9595.82
"1970-12-07",9648.2
"1970-12-08",9599.42
"1970-12-09",9608.15
"1970-12-10",9649.88
"1970-12-11",9687.35
"1970-12-14",9639.64
"1970-12-15",9626
"1970-12-16",9633.66
"1970-12-17",9669
"1970-12-18",9689.01
"1970-12-21",9660.4
"1970-12-22",9672.6
"1970-12-23",9680.51
"1970-12-24",9736.75
"1970-12-28",9789.76
"1970-12-29",9897.54
"1970-12-30",9919.41
"1970-12-31",9907.98
"1971-01-04",9802.06
"1971-01-05",9873.33
"1971-01-06",9933.85
"1971-01-07",9938.54
"1971-01-08",9919.6
"1971-01-11",9898.51
"1971-01-12",9979.44
"1971-01-13",9963.72
"1971-01-14",9990.96
"1971-01-15",10017.12
"1971-01-18",10059.39
"1971-01-19",10098.44
"1971-01-20",10102.05
"1971-01-21",10147.54
"1971-01-22",10223.1
"1971-01-25",10267.51
"1971-01-26",10302.26
"1971-01-27",10228.56
"1971-01-28",10264.38
"1971-01-29",10337.79
"1971-02-01",10397.24
"1971-02-02",10399.78
"1971-02-03",10422.71
"1971-02-04",10423.1
"1971-02-05",10457.85
"1971-02-08",10515.15
"1971-02-09",10523.05
"1971-02-10",10511.63
"1971-02-11",10568.93
"1971-02-12",10626.22
"1971-02-16",10652.38
"1971-02-17",10604.45
"1971-02-18",10537.19
"1971-02-19",10450.6
"1971-02-22",10342.54
"1971-02-23",10383.73
"1971-02-24",10453.91
"1971-02-25",10480.07
"1971-02-26",10458.98
"1971-03-01",10487.29
"1971-03-02",10486.6
"1971-03-03",10484.84
"1971-03-04",10590.45
"1971-03-05",10703.58
"1971-03-08",10750.14
"1971-03-09",10760.19
"1971-03-10",10744.47
"1971-03-11",10755.59
"1971-03-12",10776.38
"1971-03-15",10900.24
"1971-03-16",10955.39
"1971-03-17",10947.18
"1971-03-18",10956.16
"1971-03-19",10937.41
"1971-03-22",10896.47
"1971-03-23",10860.94
"1971-03-24",10790.77
"1971-03-25",10790.98
"1971-03-26",10829.08
"1971-03-29",10839.04
"1971-03-30",10865.23
"1971-03-31",10871.94
"1971-04-01",10881.89
"1971-04-02",10901.59
"1971-04-05",10927.78
"1971-04-06",11007.03
"1971-04-07",11059.21
"1971-04-08",11073.49
"1971-04-12",11159.24
"1971-04-13",11171.35
"1971-04-14",11214.87
"1971-04-15",11232.4
"1971-04-16",11230.44
"1971-04-19",11288.03
"1971-04-20",11246.01
"1971-04-21",11220.24
"1971-04-22",11243.18
"1971-04-23",11297.52
"1971-04-26",11286.9
"1971-04-27",11358.57
"1971-04-28",11379.34
"1971-04-29",11365.47
"1971-04-30",11293.14
"1971-05-03",11222.97
"1971-05-04",11278.4
"1971-05-05",11278.6
"1971-05-06",11220.35
"1971-05-07",11182.66
"1971-05-10",11128.73
"1971-05-11",11158.17
"1971-05-12",11189.78
"1971-05-13",11168.33
"1971-05-14",11117.65
"1971-05-17",10954.38
"1971-05-18",10970.83
"1971-05-19",10998.1
"1971-05-20",11025.37
"1971-05-21",10992.02
"1971-05-24",10900.2
"1971-05-25",10830.04
"1971-05-26",10844.32
"1971-05-27",10825.04
"1971-05-28",10851.24
"1971-06-01",10914.23
"1971-06-02",10997.8
"1971-06-03",11004.51
"1971-06-04",11037.19
"1971-06-07",11015.75
"1971-06-08",10933.68
"1971-06-09",10931.72
"1971-06-10",10970.9
"1971-06-11",11018.74
"1971-06-14",10928.01
"1971-06-15",10940.13
"1971-06-16",10963.07
"1971-06-17",10962.2
