"Date","ZROZ"
"1962-01-02",10000
"1962-01-03",10001.56
"1962-01-04",10030.05
"1962-01-05",10004.66
"1962-01-08",9979.34
"1962-01-09",9980.9
"1962-01-10",9955.65
"1962-01-11",9984.02
"1962-01-12",9958.76
"1962-01-15",9933.57
"1962-01-16",9908.45
"1962-01-17",9936.68
"1962-01-18",9938.24
"1962-01-19",9939.8
"1962-01-22",9968.13
"1962-01-23",9942.91
"1962-01-24",9944.47
"1962-01-25",9892.69
"1962-01-26",9894.25
"1962-01-29",9869.24
"1962-01-30",9870.8
"1962-01-31",9872.36
"1962-02-01",9873.92
"1962-02-02",9875.48
"1962-02-05",9903.62
"1962-02-06",9878.59
"1962-02-07",9880.15
"1962-02-08",9908.31
"1962-02-09",9936.55
"1962-02-12",9938.11
"1962-02-13",9966.44
"1962-02-14",9994.84
"1962-02-15",9969.56
"1962-02-16",9917.65
"1962-02-19",9945.91
"1962-02-20",9841.09
"1962-02-21",9895.71
"1962-02-23",9923.91
"1962-02-26",9952.19
"1962-02-27",9927.03
"1962-02-28",9982.13
"1962-03-01",10010.58
"1962-03-02",10012.14
"1962-03-05",9986.82
"1962-03-06",9988.38
"1962-03-07",10016.85
"1962-03-08",10045.39
"1962-03-09",10074.02
"1962-03-12",10102.72
"1962-03-13",10158.8
"1962-03-14",10160.37
"1962-03-15",10107.41
"1962-03-16",10136.21
"1962-03-19",10165.09
"1962-03-20",10221.52
"1962-03-21",10250.63
"1962-03-22",10363.19
"1962-03-23",10309.1
"1962-03-26",10255.32
"1962-03-27",10284.53
"1962-03-28",10286.11
"1962-03-29",10315.4
"1962-03-30",10344.79
"1962-04-02",10374.25
"1962-04-03",10431.85
"1962-04-04",10546.43
"1962-04-05",10463.12
"1962-04-06",10521.21
"1962-04-09",10522.79
"1962-04-10",10524.36
"1962-04-11",10469.39
"1962-04-12",10499.2
"1962-04-13",10529.1
"1962-04-16",10530.67
"1962-04-17",10532.25
"1962-04-18",10590.73
"1962-04-19",10563.81
"1962-04-23",10508.62
"1962-04-24",10481.93
"1962-04-25",10483.51
"1962-04-26",10485.08
"1962-04-27",10571.74
"1962-04-30",10573.32
"1962-05-01",10574.89
"1962-05-02",10576.47
"1962-05-03",10606.58
"1962-05-04",10608.16
"1962-05-07",10609.74
"1962-05-08",10611.32
"1962-05-09",10641.53
"1962-05-10",10671.83
"1962-05-11",10673.41
"1962-05-14",10646.26
"1962-05-15",10619.19
"1962-05-16",10592.2
"1962-05-17",10593.78
"1962-05-18",10510.09
"1962-05-21",10455.21
"1962-05-22",10484.99
"1962-05-23",10486.57
"1962-05-24",10516.43
"1962-05-25",10546.38
"1962-05-28",10576.41
"1962-05-29",10521.17
"1962-05-31",10522.75
"1962-06-01",10552.71
"1962-06-04",10554.3
"1962-06-05",10527.49
"1962-06-06",10557.47
"1962-06-07",10559.05
"1962-06-08",10589.12
"1962-06-11",10590.7
"1962-06-12",10620.86
"1962-06-13",10593.87
"1962-06-14",10538.53
"1962-06-15",10540.11
"1962-06-18",10513.35
"1962-06-19",10458.46
"1962-06-20",10460.05
"1962-06-21",10489.84
"1962-06-22",10491.43
"1962-06-25",10380.63
"1962-06-26",10354.31
"1962-06-27",10383.81
"1962-06-28",10357.48
"1962-06-29",10331.22
"1962-07-02",10332.81
"1962-07-03",10334.4
"1962-07-05",10335.99
"1962-07-06",10254.47
"1962-07-09",10201.02
"1962-07-10",10230.09
"1962-07-11",10231.68
"1962-07-12",10260.83
"1962-07-13",10262.42
"1962-07-16",10236.43
"1962-07-17",10238.02
"1962-07-18",10239.61
"1962-07-19",10241.2
"1962-07-20",10270.38
"1962-07-23",10271.97
"1962-07-24",10273.56
"1962-07-25",10275.15
"1962-07-26",10304.42
"1962-07-27",10278.33
"1962-07-30",10252.3
"1962-07-31",10253.89
"1962-08-01",10255.48
"1962-08-02",10340.19
"1962-08-03",10314
"1962-08-06",10315.59
"1962-08-07",10317.18
"1962-08-08",10318.77
"1962-08-09",10348.17
"1962-08-10",10349.76
"1962-08-13",10351.36
"1962-08-14",10408.82
"1962-08-15",10410.42
"1962-08-16",10468.21
"1962-08-17",10469.8
"1962-08-20",10499.63
"1962-08-21",10529.53
"1962-08-22",10531.13
"1962-08-23",10532.72
"1962-08-24",10534.32
"1962-08-27",10507.59
"1962-08-28",10509.19
"1962-08-29",10510.78
"1962-08-30",10484.12
"1962-08-31",10485.72
"1962-09-04",10487.32
"1962-09-05",10460.72
"1962-09-06",10462.32
"1962-09-07",10435.79
