"Date","DFSVX","VTISIM","DISVX","VXUSSIM"
"1994-12-29",10000,10000,10000,10000
"1994-12-30",10117.12,9991.27,10000,10011.61
"1995-01-03",10090.09,9973.75,10010,10038.16
"1995-01-04",10117.12,10008.95,10010,9971.28
"1995-01-05",10144.14,10009.01,10010,10019.32
"1995-01-06",10171.17,10026.64,10010,9976.51
"1995-01-09",10207.21,10035.48,10010,9985.41
"1995-01-10",10216.22,10053.11,10010,10066.83
"1995-01-11",10189.19,10053.17,10010,10006.51
"1995-01-12",10189.19,10053.23,10020,9881.44
"1995-01-13",10252.25,10141.16,10020,9917.9
"1995-01-16",10297.3,10220.31,10020,9993.14
"1995-01-17",10324.32,10246.73,10020,9959.15
"1995-01-18",10315.32,10238,10020,9904.07
"1995-01-19",10279.28,10176.54,10020,9812.28
"1995-01-20",10234.23,10132.65,10010,9722.99
"1995-01-23",10189.19,10132.71,9890,9709.12
"1995-01-24",10225.23,10150.34,9870,9719.27
"1995-01-25",10234.23,10167.98,9930,9675.08
"1995-01-26",10225.23,10185.61,9900,9561.76
"1995-01-27",10252.25,10220.82,9910,9684.68
"1995-01-30",10198.2,10176.93,10010,9664.53
"1995-01-31",10216.22,10212.14,9930,9616.37
"1995-02-01",10234.23,10229.78,9890,9543.55
"1995-02-02",10252.25,10282.56,9880,9561.75
"1995-02-03",10324.32,10405.66,9800,9591.87
"1995-02-06",10369.37,10467.24,9840,9575.59
"1995-02-07",10396.4,10467.3,9820,9672.42
"1995-02-08",10423.42,10484.93,9780,9698.98
"1995-02-09",10450.45,10476.2,9770,9573.72
"1995-02-10",10486.49,10502.63,9780,9626.69
"1995-02-13",10504.5,10511.47,9810,9620.05
"1995-02-14",10495.5,10520.32,9780,9652.28
"1995-02-15",10540.54,10573.11,9770,9630.31
"1995-02-16",10504.5,10573.17,9800,9677.56
"1995-02-17",10486.49,10511.71,9840,9615.67
"1995-02-21",10477.48,10511.77,9850,9736.45
"1995-02-22",10504.5,10555.77,9830,9610.49
"1995-02-23",10540.54,10608.56,9840,9624.21
"1995-02-24",10558.56,10626.2,9810,9654.64
"1995-02-27",10504.5,10547.16,9740,9660.64
"1995-02-28",10576.58,10626.32,9780,9609.6
"1995-03-01",10567.57,10600.01,9750,9715.9
"1995-03-02",10567.57,10582.49,9820,9779.51
"1995-03-03",10585.59,10600.13,9930,9836.89
"1995-03-06",10558.56,10591.4,10050,9828.16
"1995-03-07",10477.48,10521.14,10080,9706.68
"1995-03-08",10486.49,10538.78,9990,9745.09
"1995-03-09",10477.48,10547.62,10010,9840.6
"1995-03-10",10513.51,10661.95,9890,9839.3
"1995-03-13",10522.52,10679.59,9900,9836.83
"1995-03-14",10558.56,10741.18,9830,9795.53
"1995-03-15",10567.57,10723.66,9960,9720.43
"1995-03-16",10594.59,10785.24,9890,9864.67
"1995-03-17",10558.56,10776.51,9890,9867.92
"1995-03-20",10567.57,10785.36,9860,9880.35
"1995-03-21",10540.54,10767.84,9870,9949.73
"1995-03-22",10513.51,10767.9,9870,9970.96
"1995-03-23",10513.51,10776.8,9850,10055.47
"1995-03-24",10567.57,10882.86,9800,10222.87
"1995-03-27",10603.6,10935.92,9770,10189.43
"1995-03-28",10630.63,10953.65,9890,10250.61
"1995-03-29",10639.64,10944.87,10080,10183.94
"1995-03-30",10675.68,10936.1,10030,10256.41
"1995-03-31",10702.7,10909.66,10250,10202.12
"1995-04-03",10729.73,10927.39,9960,10173.77
"1995-04-04",10756.76,10980.45,9920,10242.56
"1995-04-05",10765.77,10998.18,9960,10328.9
"1995-04-06",10819.82,10998.24,10030,10310.21
"1995-04-07",10801.8,11007.14,10060,10386.78
"1995-04-10",10837.84,11024.87,10150,10337.96
"1995-04-11",10855.86,11016.09,10160,10289.81
"1995-04-12",10873.87,11051.49,10160,10333.9
"1995-04-13",10918.92,11095.72,10250,10457.8
"1995-04-17",10936.94,11033.95,10350,10402.95
"1995-04-18",10909.91,11007.5,10370,10355.43
"1995-04-19",10873.87,10972.23,10410,10390.56
"1995-04-20",10900.9,10989.96,10360,10339.95
"1995-04-21",10936.94,11051.86,10410,10353.06
"1995-04-24",10981.98,11131.43,10400,10567.05
"1995-04-25",11027.03,11122.66,10480,10560.47
"1995-04-26",11054.05,11140.39,10370,10541.41
"1995-04-27",11072.07,11158.12,10400,10638.51
"1995-04-28",11081.08,11184.69,10360,10578.37
"1995-05-01",11081.08,11175.91,10370,10540.76
