"Date","60/40"
"1969-12-31",10000
"1970-01-02",10080.36
"1970-01-05",10120.97
"1970-01-06",10035.59
"1970-01-07",10041.61
"1970-01-08",10066.8
"1970-01-09",10050.95
"1970-01-12",10006.11
"1970-01-13",10011.26
"1970-01-14",10008.65
"1970-01-15",10016
"1970-01-16",10017.92
"1970-01-19",9963.8
"1970-01-20",9971.16
"1970-01-21",9956.44
"1970-01-22",9995.43
"1970-01-23",9928.26
"1970-01-26",9860.09
"1970-01-27",9825.47
"1970-01-28",9762.38
"1970-01-29",9665.9
"1970-01-30",9629.3
"1970-02-02",9667.45
"1970-02-03",9708.33
"1970-02-04",9707.75
"1970-02-05",9682.41
"1970-02-06",9725.6
"1970-02-09",9800.12
"1970-02-10",9752.07
"1970-02-11",9782.87
"1970-02-12",9751.97
"1970-02-13",9811.74
"1970-02-16",9806.6
"1970-02-17",9783.33
"1970-02-18",9860.48
"1970-02-19",9894.39
"1970-02-20",9871.63
"1970-02-24",9870.91
"1970-02-25",9951.23
"1970-02-26",9987.42
"1970-02-27",10025.68
"1970-03-02",10007.16
"1970-03-03",10019.95
"1970-03-04",10048.57
"1970-03-05",10044.92
"1970-03-06",10045.6
"1970-03-09",9973.33
"1970-03-10",9963.99
"1970-03-11",9944.64
"1970-03-12",9899.53
"1970-03-13",9859.23
"1970-03-16",9792.92
"1970-03-17",9760.23
"1970-03-18",9807.13
"1970-03-19",9836.96
"1970-03-20",9817.05
"1970-03-23",9828.11
"1970-03-24",9903.7
"1970-03-25",10042.88
"1970-03-26",10055.69
"1970-03-30",10029.74
"1970-03-31",10016.19
"1970-04-01",10063.36
"1970-04-02",10047.6
"1970-04-03",10035.22
"1970-04-06",9967.67
"1970-04-07",9946.16
"1970-04-08",9956.1
"1970-04-09",9959.96
"1970-04-10",9926.97
"1970-04-13",9866.22
"1970-04-14",9808.53
"1970-04-15",9775.47
"1970-04-16",9695.76
"1970-04-17",9681.91
"1970-04-20",9683.22
"1970-04-21",9631.28
"1970-04-22",9530.88
"1970-04-23",9453.58
"1970-04-24",9402.49
"1970-04-27",9279.48
"1970-04-28",9195.76
"1970-04-29",9301.82
"1970-04-30",9259.93
"1970-05-01",9260.32
"1970-05-04",9168.36
"1970-05-05",9128.83
"1970-05-06",9177.42
"1970-05-07",9207.63
"1970-05-08",9189.5
"1970-05-11",9126.04
"1970-05-12",9096.81
"1970-05-13",9049.11
"1970-05-14",8961
"1970-05-15",9057.36
"1970-05-18",9056.53
"1970-05-19",9000.42
"1970-05-20",8859.48
"1970-05-21",8778.48
"1970-05-22",8771.4
"1970-05-25",8630.2
"1970-05-26",8590.1
"1970-05-27",8782.86
"1970-05-28",8883.79
"1970-05-29",8963.55
"1970-06-01",9060.93
"1970-06-02",9082.09
"1970-06-03",9141.85
"1970-06-04",9063.41
"1970-06-05",9009.26
"1970-06-08",8995.02
"1970-06-09",9000.87
"1970-06-10",8955.56
"1970-06-11",8880.6
"1970-06-12",8849.51
"1970-06-15",8853.45
"1970-06-16",8964.01
"1970-06-17",8938.12
"1970-06-18",8970.39
"1970-06-19",9003.38
"1970-06-22",8972.2
"1970-06-23",8881.84
"1970-06-24",8875.57
"1970-06-25",8886.44
"1970-06-26",8862.72
"1970-06-29",8852.33
"1970-06-30",8847.88
"1970-07-01",8886.84
"1970-07-02",8897.06
"1970-07-06",8829.56
"1970-07-07",8791.28
"1970-07-08",8892.4
"1970-07-09",8958.92
"1970-07-10",8979.62
"1970-07-13",8987.2
"1970-07-14",8989.36
"1970-07-15",9056.58
"1970-07-16",9118.98
"1970-07-17",9200.85
"1970-07-20",9194.64
"1970-07-21",9174.36
"1970-07-22",9159.16
"1970-07-23",9245.27
"1970-07-24",9222.37
"1970-07-27",9201.43
"1970-07-28",9202.28
"1970-07-29",9222.8
"1970-07-30",9235.47
"1970-07-31",9214.44
"1970-08-03",9139.94
"1970-08-04",9136.92
"1970-08-05",9131.62
"1970-08-06",9139.67
"1970-08-07",9141.9
"1970-08-10",9079.38
"1970-08-11",9060.63
"1970-08-12",9019.58
"1970-08-13",9002.1
"1970-08-14",9026.58
"1970-08-17",9027.97
"1970-08-18",9075.32
"1970-08-19",9136.03
"1970-08-20",9193.18
"1970-08-21",9263.53
"1970-08-24",9400.53
"1970-08-25",9422.57
"1970-08-26",9440.92
"1970-08-27",9418.65
"1970-08-28",9459.84
"1970-08-31",9456.87
"1970-09-01",9395.42
"1970-09-02",9387.1
"1970-09-03",9461.16
"1970-09-04",9523.58
"1970-09-08",9519.79
"1970-09-09",9515.43
"1970-09-10",9501.74
"1970-09-11",9510.56
"1970-09-14",9494.84
"1970-09-15",9469.46
"1970-09-16",9514.9
"1970-09-17",9565.98
"1970-09-18",9606.02
"1970-09-21",9572.63
"1970-09-22",9566.9
"1970-09-23",9648.64
"1970-09-24",9681.27
"1970-09-25",9712.28
"1970-09-28",9711.24
"1970-09-29",9725.31
"1970-09-30",9747
"1970-10-01",9746.56
"1970-10-02",9802.03
"1970-10-05",9903.91
"1970-10-06",9932.34
"1970-10-07",9946.42
"1970-10-08",9858.42
"1970-10-09",9813.19
"1970-10-12",9754.97
"1970-10-13",9730.12
"1970-10-14",9728.23
"1970-10-15",9741.06
"1970-10-16",9697.74
"1970-10-19",9646.21
"1970-10-20",9661.69
"1970-10-21",9653.5
"1970-10-22",9626.49
"1970-10-23",9667.17
"1970-10-26",9634.12
"1970-10-27",9644.12
"1970-10-28",9661.39
"1970-10-29",9682.35
"1970-10-30",9683.56
"1970-11-02",9697.75
"1970-11-03",9720.88
"1970-11-04",9733.49
"1970-11-05",9737.89
"1970-11-06",9755.65
"1970-11-09",9801.71
"1970-11-10",9777.47
"1970-11-11",9779.87
"1970-11-12",9747.29
"1970-11-13",9681.22
"1970-11-16",9690.43
"1970-11-17",9712
"1970-11-18",9689.55
"1970-11-19",9745.89
"1970-11-20",9877
"1970-11-23",9913.31
"1970-11-24",9892.08
"1970-11-25",9917.17
"1970-11-27",9962.61
"1970-11-30",10036.97
"1970-12-01",10077.38
"1970-12-02",10157.12
"1970-12-03",10207.23
"1970-12-04",10260.23
"1970-12-07",10280.22
"1970-12-08",10253.3
"1970-12-09",10220.38
"1970-12-10",10240.05
"1970-12-11",10269.48
"1970-12-14",10219.97
"1970-12-15",10177.25
"1970-12-16",10156.99
"1970-12-17",10176.9
"1970-12-18",10193.79
"1970-12-21",10184.59
"1970-12-22",10185.07
"1970-12-23",10204.06
"1970-12-24",10270.99
"1970-12-28",10315.93
"1970-12-29",10361.83
"1970-12-30",10387.64
"1970-12-31",10385.34
"1971-01-04",10304.28
"1971-01-05",10358.45
"1971-01-06",10402.5
"1971-01-07",10409.22
"1971-01-08",10412.58
"1971-01-11",10415.41
"1971-01-12",10470.29
"1971-01-13",10453.99
"1971-01-14",10478.43
"1971-01-15",10484.3
"1971-01-18",10551.02
"1971-01-19",10579.36
"1971-01-20",10549.39
"1971-01-21",10582.36
"1971-01-22",10637.59
"1971-01-25",10690.67
"1971-01-26",10691.51
"1971-01-27",10679.13
"1971-01-28",10712.16
"1971-01-29",10763.46
"1971-02-01",10807.26
"1971-02-02",10790.37
"1971-02-03",10790.21
"1971-02-04",10800.78
"1971-02-05",10859.18
"1971-02-08",10925.99
"1971-02-09",10900.49
"1971-02-10",10900.32
"1971-02-11",10953.63
"1971-02-12",10970.25
"1971-02-16",11000.44
"1971-02-17",10966.98
"1971-02-18",10962.46
"1971-02-19",10947.47
"1971-02-22",10880.53
"1971-02-23",10888.84
"1971-02-24",10966.53
"1971-02-25",11008.08
"1971-02-26",10956
"1971-03-01",10979.02
"1971-03-02",10997.29
"1971-03-03",11005.7
"1971-03-04",11093.05
"1971-03-05",11177.58
"1971-03-08",11232.95
"1971-03-09",11305.59
"1971-03-10",11328.07
"1971-03-11",11379.55
"1971-03-12",11407.25
"1971-03-15",11518.69
"1971-03-16",11552.34
"1971-03-17",11532.68
"1971-03-18",11514.44
"1971-03-19",11488.53
"1971-03-22",11482.43
"1971-03-23",11488.54
"1971-03-24",11415.81
"1971-03-25",11409.17
"1971-03-26",11413.28
"1971-03-29",11404.5
"1971-03-30",11430.65
"1971-03-31",11394.8
"1971-04-01",11402.09
"1971-04-02",11385.46
"1971-04-05",11382.24
"1971-04-06",11441.02
"1971-04-07",11473.84
"1971-04-08",11434.24
"1971-04-12",11476.49
"1971-04-13",11505.97
"1971-04-14",11493.24
"1971-04-15",11530.01
"1971-04-16",11530.75
"1971-04-19",11553.49
"1971-04-20",11497.69
"1971-04-21",11461.3
"1971-04-22",11492.02
"1971-04-23",11524.3
"1971-04-26",11493.86
"1971-04-27",11503.37
"1971-04-28",11502.6
"1971-04-29",11471.61
"1971-04-30",11422.74
"1971-05-03",11386.48
"1971-05-04",11427.02
"1971-05-05",11394.53
"1971-05-06",11371.75
"1971-05-07",11369.83
"1971-05-10",11360.86
"1971-05-11",11373.33
"1971-05-12",11388.37
"1971-05-13",11361
"1971-05-14",11334.53
"1971-05-17",11206.97
"1971-05-18",11201.05
"1971-05-19",11239.03
"1971-05-20",11285.66
"1971-05-21",11253.63
"1971-05-24",11212.52
"1971-05-25",11198.33
"1971-05-26",11227.41
"1971-05-27",11250.26
"1971-05-28",11228.44
"1971-06-01",11257.52
"1971-06-02",11330.88
"1971-06-03",11357.35
"1971-06-04",11363.13
"1971-06-07",11328.02
"1971-06-08",11271.38
"1971-06-09",11251.91
"1971-06-10",11269.74
"1971-06-11",11310.14
"1971-06-14",11229.4
"1971-06-15",11230.3
"1971-06-16",11255.98
"1971-06-17",11266.52
"1971-06-18",11182.53
"1971-06-21",11143.57
"1971-06-22",11084.47
"1971-06-23",11146.82
"1971-06-24",11112.18
"1971-06-25",11101.19
"1971-06-28",11086.85
"1971-06-29",11129.17
"1971-06-30",11186.73
"1971-07-01",11205.61
"1971-07-02",11249.24
"1971-07-06",11267.33
"1971-07-07",11292
"1971-07-08",11314.15
"1971-07-09",11353.12
"1971-07-12",11395.2
"1971-07-13",11318.82
"1971-07-14",11316.26
"1971-07-15",11313.62
"1971-07-16",11311.14
"1971-07-19",11285.65
"1971-07-20",11304.84
"1971-07-21",11296.35
"1971-07-22",11273.55
"1971-07-23",11243.43
"1971-07-26",11207.61
"1971-07-27",11157.38
"1971-07-28",11097.89
"1971-07-29",11067.67
"1971-07-30",11058.8
"1971-08-02",11092.43
"1971-08-03",10977.87
"1971-08-04",10946.78
"1971-08-05",10985.53
"1971-08-06",10976.25
"1971-08-09",10938.14
"1971-08-10",10936.47
"1971-08-11",11003.53
"1971-08-12",11094.18
"1971-08-13",11121.8
"1971-08-16",11392.45
"1971-08-17",11486.99
"1971-08-18",11394
"1971-08-19",11370.42
"1971-08-20",11363.52
"1971-08-23",11390.97
"1971-08-24",11473.87
"1971-08-25",11458.88
"1971-08-26",11450.23
"1971-08-27",11462.03
"1971-08-30",11419.47
"1971-08-31",11410
"1971-09-01",11420.12
"1971-09-02",11449.33
"1971-09-03",11538.51
"1971-09-07",11581.6
"1971-09-08",11602.5
"1971-09-09",11557.29
"1971-09-10",11509.7
"1971-09-13",11483.08
"1971-09-14",11434.19
"1971-09-15",11448.04
"1971-09-16",11461.94
"1971-09-17",11482.24
"1971-09-20",11440.97
"1971-09-21",11402.21
"1971-09-22",11350.06
"1971-09-23",11342.4
"1971-09-24",11371.33
"1971-09-27",11352.49
"1971-09-28",11375.93
"1971-09-29",11380.11
"1971-09-30",11433.12
"1971-10-01",11481.91
"1971-10-04",11512.13
"1971-10-05",11500.48
"1971-10-06",11545.66
"1971-10-07",11574.66
"1971-10-08",11529.78
"1971-10-11",11508.39
"1971-10-12",11537.22
"1971-10-13",11519.96
"1971-10-14",11467.66
"1971-10-15",11459.99
"1971-10-18",11436.7
"1971-10-19",11427.6
"1971-10-20",11359.31
"1971-10-21",11351.05
"1971-10-22",11313.44
"1971-10-25",11268.46
"1971-10-26",11231.73
"1971-10-27",11163.55
"1971-10-28",11177.35
"1971-10-29",11221.99
"1971-11-01",11160.36
"1971-11-02",11173.17
"1971-11-03",11280.05
"1971-11-04",11265.38
"1971-11-05",11240.76
"1971-11-08",11223.03
"1971-11-09",11247.35
"1971-11-10",11189.18
"1971-11-11",11141.77
"1971-11-12",11153.02
"1971-11-15",11147.48
"1971-11-16",11204.1
"1971-11-17",11180.54
"1971-11-18",11136.62
"1971-11-19",11107.92
"1971-11-22",11054.68
"1971-11-23",10981.38
"1971-11-24",10983.13
"1971-11-26",11085.53
"1971-11-29",11178
"1971-11-30",11238.87
"1971-12-01",11330.77
"1971-12-02",11352.44
"1971-12-03",11449.85
"1971-12-06",11425.26
"1971-12-07",11466.02
"1971-12-08",11433.69
"1971-12-09",11471.91
"1971-12-10",11541
"1971-12-13",11590.3
"1971-12-14",11537.99
"1971-12-15",11601.35
"1971-12-16",11702.42
"1971-12-17",11730.22
"1971-12-20",11811.27
"1971-12-21",11829.27
"1971-12-22",11788.8
"1971-12-23",11793.26
"1971-12-27",11847.94
"1971-12-28",11985.49
"1971-12-29",12011.16
"1971-12-30",12021.81
"1971-12-31",12072.99
"1972-01-03",12019.13
"1972-01-04",12068.18
"1972-01-05",12164.91
"1972-01-06",12173.94
"1972-01-07",12197.74
"1972-01-10",12201.43
"1972-01-11",12251.29
"1972-01-12",12216.88
"1972-01-13",12202.78
"1972-01-14",12236.86
"1972-01-17",12269.14
"1972-01-18",12283.02
"1972-01-19",12235.2
"1972-01-20",12255.12
"1972-01-21",12215.67
"1972-01-24",12143.16
"1972-01-25",12139.78
"1972-01-26",12147.53
"1972-01-27",12250.16
"1972-01-28",12319.46
"1972-01-31",12354.66
"1972-02-01",12371.96
"1972-02-02",12451.61
"1972-02-03",12401.4
"1972-02-04",12449.82
"1972-02-07",12442.2
"1972-02-08",12437.43
"1972-02-09",12494.46
"1972-02-10",12485.45
"1972-02-11",12487.64
"1972-02-14",12447.5
"1972-02-15",12493.68
"1972-02-16",12516.93
"1972-02-17",12496.52
"1972-02-18",12488.02
"1972-02-22",12551.7
"1972-02-23",12529.61
"1972-02-24",12582.97
"1972-02-25",12675.02
"1972-02-28",12705.87
"1972-02-29",12719.1
"1972-03-01",12778.53
"1972-03-02",12795.96
"1972-03-03",12825.53
"1972-03-06",12907.16
"1972-03-07",12880.89
"1972-03-08",12876.57
"1972-03-09",12849.39
"1972-03-10",12762.62
"1972-03-13",12668.32
"1972-03-14",12668.72
"1972-03-15",12694.53
"1972-03-16",12737.01
"1972-03-17",12767.21
"1972-03-20",12746.57
"1972-03-21",12690.45
"1972-03-22",12710.83
"1972-03-23",12773.58
"1972-03-24",12729.97
"1972-03-27",12742.26
"1972-03-28",12707.43
"1972-03-29",12656.43
"1972-03-30",12762.4
"1972-04-03",12810.95
"1972-04-04",12867.46
"1972-04-05",12975.35
"1972-04-06",13007.7
"1972-04-07",13025.38
"1972-04-10",13054.78
"1972-04-11",13106.08
"1972-04-12",13147
"1972-04-13",13063.06
"1972-04-14",13042.91
"1972-04-17",13005.87
"1972-04-18",13003.74
"1972-04-19",13013.57
"1972-04-20",13021.55
"1972-04-21",12982.8
"1972-04-24",12919.14
"1972-04-25",12872.75
"1972-04-26",12881.29
"1972-04-27",12916.55
"1972-04-28",12943.6
"1972-05-01",12843.98
"1972-05-02",12815.81
"1972-05-03",12804.76
"1972-05-04",12823.07
"1972-05-05",12845.6
"1972-05-08",12833.44
"1972-05-09",12712.71
"1972-05-10",12760.28
"1972-05-11",12756.03
"1972-05-12",12804.88
"1972-05-15",12841.4
"1972-05-16",12859.5
"1972-05-17",12912.69
"1972-05-18",13053.18
"1972-05-19",13115.77
"1972-05-22",13167.37
"1972-05-23",13200.5
"1972-05-24",13243.14
"1972-05-25",13273.28
"1972-05-26",13347.57
"1972-05-30",13347.27
"1972-05-31",13268.05
"1972-06-01",13289.79
"1972-06-02",13358.48
"1972-06-05",13287.19
"1972-06-06",13204.07
"1972-06-07",13215.44
"1972-06-08",13198.82
"1972-06-09",13099.2
"1972-06-12",13110.12
"1972-06-13",13187.64
"1972-06-14",13193.39
"1972-06-15",13200.53
"1972-06-16",13182.64
"1972-06-19",13160.74
"1972-06-20",13145.15
"1972-06-21",13153.11
"1972-06-22",13100.37
"1972-06-23",13078.63
"1972-06-26",13047.12
"1972-06-27",13039.51
"1972-06-28",13017.65
"1972-06-29",12964.23
"1972-06-30",13043.16
"1972-07-03",13125.17
"1972-07-05",13215.09
"1972-07-06",13302.8
"1972-07-07",13226.44
"1972-07-10",13209.36
"1972-07-11",13201.49
"1972-07-12",13165.69
"1972-07-13",13111.57
"1972-07-14",13178.52
"1972-07-17",13122.09
"1972-07-18",13082.45
"1972-07-19",13127.23
"1972-07-20",13085.09
"1972-07-21",13148.8
"1972-07-24",13221.27
"1972-07-25",13169.37
"1972-07-26",13256.15
"1972-07-27",13249.82
"1972-07-28",13240.59
"1972-07-31",13227.54
"1972-08-01",13325.67
"1972-08-02",13444.52
"1972-08-03",13492.34
"1972-08-04",13499.46
"1972-08-07",13442.61
"1972-08-08",13474.59
"1972-08-09",13442.76
"1972-08-10",13500.97
"1972-08-11",13588.78
"1972-08-14",13609.86
"1972-08-15",13540.54
"1972-08-16",13550.46
"1972-08-17",13491.8
"1972-08-18",13526.59
"1972-08-21",13516.46
"1972-08-22",13553
"1972-08-23",13549.95
"1972-08-24",13416.57
"1972-08-25",13406.55
"1972-08-28",13383.75
"1972-08-29",13412.35
"1972-08-30",13414.92
"1972-08-31",13411.82
"1972-09-01",13487.44
"1972-09-05",13455.78
"1972-09-06",13355.35
"1972-09-07",13278.11
"1972-09-08",13209.07
"1972-09-11",13126.21
"1972-09-12",13104.48
"1972-09-13",13111.62
"1972-09-14",13046.75
"1972-09-15",13065.94
"1972-09-18",13051.65
"1972-09-19",13003.53
"1972-09-20",12987.22
"1972-09-21",13013.59
"1972-09-22",13030.83
"1972-09-25",12994.42
"1972-09-26",13038.38
"1972-09-27",13160.27
"1972-09-28",13190.29
"1972-09-29",13251.03
"1972-10-02",13149.99
"1972-10-03",13102.71
"1972-10-04",13090.99
"1972-10-05",13032.8
"1972-10-06",13055.7
"1972-10-09",13094.13
"1972-10-10",13077.63
"1972-10-11",13071.58
"1972-10-12",12974.99
"1972-10-13",12965.73
"1972-10-16",12903.3
"1972-10-17",12979.48
"1972-10-18",13039.11
"1972-10-19",12996.03
"1972-10-20",13072.29
"1972-10-23",13175.04
"1972-10-24",13225.75
"1972-10-25",13218.19
"1972-10-26",13285.58
"1972-10-27",13260.83
"1972-10-30",13304.17
"1972-10-31",13329.26
"1972-11-01",13456.22
"1972-11-02",13571.23
"1972-11-03",13669.07
"1972-11-06",13694.26
"1972-11-08",13610.99
"1972-11-09",13627.83
"1972-11-10",13706.56
"1972-11-13",13728.43
"1972-11-14",13828.26
"1972-11-15",13791.21
"1972-11-16",13874.15
"1972-11-17",13888.07
"1972-11-20",13919.27
"1972-11-21",13903.9
"1972-11-22",13957.09
"1972-11-24",13980.55
"1972-11-27",13945.64
"1972-11-28",13886.91
"1972-11-29",13943.01
"1972-11-30",13912.96
"1972-12-01",13951.11
"1972-12-04",13990.81
"1972-12-05",13924.58
"1972-12-06",14036.8
"1972-12-07",14077.41
"1972-12-08",14072.86
"1972-12-11",14102.42
"1972-12-12",14095.43
"1972-12-13",14085.19
"1972-12-14",14054.69
"1972-12-15",14096.58
"1972-12-18",13991.44
"1972-12-19",13925.03
"1972-12-20",13907.7
"1972-12-21",13847.04
"1972-12-22",13907.96
"1972-12-26",13923.7
"1972-12-27",13956.28
"1972-12-29",14034.99
"1973-01-02",14105.88
"1973-01-03",14132.88
"1973-01-04",14146.04
"1973-01-05",14196
"1973-01-08",14177.84
"1973-01-09",14137.09
"1973-01-10",14108.61
"1973-01-11",14214.37
"1973-01-12",14166.17
"1973-01-15",14118.36
"1973-01-16",14101.74
"1973-01-17",14159.34
"1973-01-18",14193.39
"1973-01-19",14198.78
"1973-01-22",14159.27
"1973-01-23",14205.1
"1973-01-24",14101.81
"1973-01-26",14056.42
"1973-01-29",13979.11
"1973-01-30",13998.66
"1973-01-31",14009.69
"1973-02-01",13908.57
"1973-02-02",13862.72
"1973-02-05",13895.12
"1973-02-06",13971.14
"1973-02-07",13935.28
"1973-02-08",13930.15
"1973-02-09",14064.5
"1973-02-12",14199.1
"1973-02-13",14278.43
"1973-02-14",14185.91
"1973-02-15",14110.96
"1973-02-16",14162.89
"1973-02-20",14170.76
