"Date","All Weather"
"1969-12-31",10000
"1970-01-02",10069.54
"1970-01-05",10083.3
"1970-01-06",10003.71
"1970-01-07",9995.88
"1970-01-08",10034.48
"1970-01-09",10069.92
"1970-01-12",10056.84
"1970-01-13",10032.38
"1970-01-14",9984.93
"1970-01-15",9992.8
"1970-01-16",10018.38
"1970-01-19",10003.01
"1970-01-20",9987.73
"1970-01-21",9983.08
"1970-01-22",10003.76
"1970-01-23",9960.15
"1970-01-26",9926.75
"1970-01-27",9928.44
"1970-01-28",9892.07
"1970-01-29",9842.41
"1970-01-30",9812.32
"1970-02-02",9852.91
"1970-02-03",9884.9
"1970-02-04",9913.95
"1970-02-05",9925.82
"1970-02-06",9988.41
"1970-02-09",10079.91
"1970-02-10",10033.66
"1970-02-11",10042.2
"1970-02-12",10027.32
"1970-02-13",10139.3
"1970-02-16",10124.6
"1970-02-17",10099.1
"1970-02-18",10135.57
"1970-02-19",10159.27
"1970-02-20",10124.31
"1970-02-24",10137.59
"1970-02-25",10194.57
"1970-02-26",10228.88
"1970-02-27",10248
"1970-03-02",10214.75
"1970-03-03",10222.7
"1970-03-04",10234.59
"1970-03-05",10207.73
"1970-03-06",10210.61
"1970-03-09",10156.57
"1970-03-10",10116.06
"1970-03-11",10068.21
"1970-03-12",10017.96
"1970-03-13",9966.87
"1970-03-16",9918.16
"1970-03-17",9877.94
"1970-03-18",9931.78
"1970-03-19",10064.58
"1970-03-20",10038.28
"1970-03-23",10050.05
"1970-03-24",10114.51
"1970-03-25",10229.19
"1970-03-26",10252.21
"1970-03-30",10198.49
"1970-03-31",10186.52
"1970-04-01",10243.21
"1970-04-02",10237.63
"1970-04-03",10219.21
"1970-04-06",10160.29
"1970-04-07",10144.78
"1970-04-08",10146.44
"1970-04-09",10143.22
"1970-04-10",10139.18
"1970-04-13",10105.49
"1970-04-14",10080.13
"1970-04-15",10034.8
"1970-04-16",9968
"1970-04-17",9920.68
"1970-04-20",9907.32
"1970-04-21",9880.91
"1970-04-22",9785.72
"1970-04-23",9732.59
"1970-04-24",9691.85
"1970-04-27",9619.05
"1970-04-28",9588.35
"1970-04-29",9658.86
"1970-04-30",9635.02
"1970-05-01",9626.36
"1970-05-04",9518.28
"1970-05-05",9510.51
"1970-05-06",9573.5
"1970-05-07",9598.7
"1970-05-08",9609.74
"1970-05-11",9559.12
"1970-05-12",9529.35
"1970-05-13",9504.82
"1970-05-14",9456.33
"1970-05-15",9522.03
"1970-05-18",9526.15
"1970-05-19",9498.84
"1970-05-20",9407.37
"1970-05-21",9323.29
"1970-05-22",9271.87
"1970-05-25",9095
"1970-05-26",8968.49
"1970-05-27",9145.25
"1970-05-28",9221.33
"1970-05-29",9267.35
"1970-06-01",9358.88
"1970-06-02",9405.9
"1970-06-03",9431.27
"1970-06-04",9385.6
"1970-06-05",9326.1
"1970-06-08",9311.99
"1970-06-09",9329.81
"1970-06-10",9303.41
"1970-06-11",9251.57
"1970-06-12",9207.01
"1970-06-15",9199.79
"1970-06-16",9325.31
"1970-06-17",9299.63
"1970-06-18",9321.37
"1970-06-19",9330.81
"1970-06-22",9331.99
"1970-06-23",9340.26
"1970-06-24",9365.36
"1970-06-25",9352.33
"1970-06-26",9328.63
"1970-06-29",9340.79
"1970-06-30",9410.92
"1970-07-01",9458.19
"1970-07-02",9511.88
"1970-07-06",9527.28
"1970-07-07",9530.26
"1970-07-08",9546.06
"1970-07-09",9562.16
"1970-07-10",9540.94
"1970-07-13",9543.34
"1970-07-14",9556.09
"1970-07-15",9593.45
"1970-07-16",9636.98
"1970-07-17",9684.96
"1970-07-20",9677.83
"1970-07-21",9661.69
"1970-07-22",9660.43
"1970-07-23",9778.08
"1970-07-24",9756.93
"1970-07-27",9741.71
"1970-07-28",9695.96
"1970-07-29",9711.6
"1970-07-30",9718.54
"1970-07-31",9708.61
"1970-08-03",9667.58
"1970-08-04",9660.18
"1970-08-05",9635.29
"1970-08-06",9634.78
"1970-08-07",9623.84
