"Date","GIS"
"1983-06-10",10000
"1983-06-13",10115.34
"1983-06-14",9956.06
"1983-06-15",9794.95
"1983-06-16",9978.03
"1983-06-17",10161.11
"1983-06-20",10298.43
"1983-06-21",10161.11
"1983-06-22",10230.68
"1983-06-23",10115.34
"1983-06-24",10069.57
"1983-06-27",9978.03
"1983-06-28",9657.63
"1983-06-29",10047.6
"1983-06-30",10115.34
"1983-07-01",10069.57
"1983-07-05",10091.54
"1983-07-06",9978.03
"1983-07-07",10047.6
"1983-07-08",10115.34
"1983-07-11",10115.34
"1983-07-12",9978.03
"1983-07-13",9864.52
"1983-07-14",9749.18
"1983-07-15",9703.41
"1983-07-18",9611.86
"1983-07-19",9542.29
"1983-07-20",9703.41
"1983-07-21",9611.86
"1983-07-22",9566.09
"1983-07-25",9406.81
"1983-07-26",9474.55
"1983-07-27",9498.35
"1983-07-28",9498.35
"1983-07-29",9291.47
"1983-08-01",9267.67
"1983-08-02",9383.01
"1983-08-03",9359.21
"1983-08-04",9223.73
"1983-08-05",9291.47
"1983-08-08",9176.13
"1983-08-09",9108.39
"1983-08-10",9132.19
"1983-08-11",9223.73
"1983-08-12",9315.27
"1983-08-15",9223.73
"1983-08-16",9016.84
"1983-08-17",9016.84
"1983-08-18",8879.53
"1983-08-19",8833.76
"1983-08-22",8833.76
"1983-08-23",8857.56
"1983-08-24",8787.99
"1983-08-25",8879.53
"1983-08-26",8766.02
"1983-08-29",8787.99
"1983-08-30",9154.16
"1983-08-31",9199.93
"1983-09-01",9383.01
"1983-09-02",9450.75
"1983-09-06",9498.35
"1983-09-07",9359.21
"1983-09-08",9450.75
"1983-09-09",9450.75
"1983-09-12",9383.01
"1983-09-13",9520.32
"1983-09-14",9542.29
"1983-09-15",9657.63
"1983-09-16",10069.57
"1983-09-19",10069.57
"1983-09-20",9956.06
"1983-09-21",9589.89
"1983-09-22",9703.41
"1983-09-23",9474.55
"1983-09-26",9589.89
"1983-09-27",9450.75
"1983-09-28",9040.64
"1983-09-29",8879.53
"1983-09-30",8857.56
"1983-10-03",8809.96
"1983-10-04",8993.04
"1983-10-05",9383.01
"1983-10-06",9520.32
"1983-10-07",9703.41
"1983-10-10",9703.41
"1983-10-11",9589.89
"1983-10-12",9337.24
"1983-10-13",9337.24
"1983-10-14",9315.27
"1983-10-17",9428.78
"1983-10-18",9291.47
"1983-10-19",9291.47
"1983-10-20",9359.21
"1983-10-21",9267.67
"1983-10-24",9245.7
"1983-10-25",9337.24
"1983-10-26",9428.78
"1983-10-27",9725.38
"1983-10-28",9703.41
"1983-10-31",9794.95
"1983-11-01",9657.63
"1983-11-02",9703.41
"1983-11-03",9657.63
"1983-11-04",9681.44
"1983-11-07",9657.63
"1983-11-08",9474.55
"1983-11-09",9794.95
"1983-11-10",9816.92
"1983-11-11",10069.57
"1983-11-14",10344.2
"1983-11-15",10161.11
"1983-11-16",10252.65
"1983-11-17",10047.6
"1983-11-18",9886.49
"1983-11-21",9772.98
"1983-11-22",9681.44
"1983-11-23",9681.44
"1983-11-25",9681.44
"1983-11-28",9657.63
"1983-11-29",9657.63
"1983-11-30",9657.63
"1983-12-01",9725.38
"1983-12-02",9703.41
"1983-12-05",9864.52
"1983-12-06",9886.49
"1983-12-07",9772.98
"1983-12-08",9749.18
"1983-12-09",9657.63
"1983-12-12",9703.41
"1983-12-13",9681.44
"1983-12-14",9681.44
"1983-12-15",9703.41
"1983-12-16",9886.49
"1983-12-19",9886.49
"1983-12-20",9725.38
"1983-12-21",9657.63
"1983-12-22",9589.89
"1983-12-23",9428.78
"1983-12-27",9474.55
"1983-12-28",9498.35
"1983-12-29",9520.32
"1983-12-30",9566.09
"1984-01-03",9542.29
"1984-01-04",9542.29
"1984-01-05",9749.18
"1984-01-06",9840.72
"1984-01-09",9794.95
"1984-01-10",9611.86
"1984-01-11",9657.63
"1984-01-12",9681.44
"1984-01-13",9657.63
"1984-01-16",9633.83
"1984-01-17",9703.41
"1984-01-18",9681.44
"1984-01-19",9681.44
"1984-01-20",9611.86
"1984-01-23",9589.89
"1984-01-24",9566.09
"1984-01-25",9542.29
"1984-01-26",9450.75
"1984-01-27",9474.55
"1984-01-30",9359.21
"1984-01-31",9383.01
"1984-02-01",9267.67
"1984-02-02",8787.99
"1984-02-03",8674.48
"1984-02-06",8742.22
"1984-02-07",8674.48
"1984-02-08",8559.14
"1984-02-09",8535.34
"1984-02-10",8535.34
"1984-02-13",8443.79
"1984-02-14",8352.25
"1984-02-15",8260.71
"1984-02-16",8147.2
"1984-02-17",8216.77
"1984-02-21",8260.71
"1984-02-22",8192.97
"1984-02-23",8330.28
"1984-02-24",8742.22
"1984-02-27",8650.68
"1984-02-28",8650.68
"1984-02-29",8696.45
"1984-03-01",8718.42
"1984-03-02",8718.42
"1984-03-05",8696.45
"1984-03-06",8650.68
"1984-03-07",8696.45
"1984-03-08",8626.88
"1984-03-09",8559.14
"1984-03-12",8696.45
"1984-03-13",8718.42
"1984-03-14",8696.45
"1984-03-15",8718.42
"1984-03-16",8696.45
"1984-03-19",8626.88
"1984-03-20",8604.91
"1984-03-21",8491.4
"1984-03-22",8443.79
"1984-03-23",8467.59
"1984-03-26",8467.59
"1984-03-27",8467.59
"1984-03-28",8513.37
"1984-03-29",8559.14
"1984-03-30",8535.34
"1984-04-02",8491.4
"1984-04-03",8443.79
"1984-04-04",8421.82
"1984-04-05",8352.25
"1984-04-06",8376.05
"1984-04-09",8467.59
"1984-04-10",8467.59
"1984-04-11",8535.34
"1984-04-12",8650.68
"1984-04-13",8650.68
"1984-04-16",8766.02
"1984-04-17",8766.02
"1984-04-18",8787.99
"1984-04-19",8879.53
"1984-04-23",8809.96
"1984-04-24",8901.5
"1984-04-25",9062.61
"1984-04-26",9062.61
