"Date","KO"
"1962-01-02",10000
"1962-01-03",9777.23
"1962-01-04",9851.49
"1962-01-05",9628.71
"1962-01-08",9529.7
"1962-01-09",9702.97
"1962-01-10",9752.48
"1962-01-11",9851.49
"1962-01-12",9777.23
"1962-01-15",9678.22
"1962-01-16",9504.95
"1962-01-17",9207.92
"1962-01-18",9022.77
"1962-01-19",9306.93
"1962-01-22",9381.19
"1962-01-23",9183.17
"1962-01-24",9084.16
"1962-01-25",9009.9
"1962-01-26",8910.89
"1962-01-29",8910.89
"1962-01-30",8874.26
"1962-01-31",9232.67
"1962-02-01",9306.93
"1962-02-02",9405.94
"1962-02-05",9405.94
"1962-02-06",9282.18
"1962-02-07",9331.68
"1962-02-08",9356.44
"1962-02-09",9405.94
"1962-02-12",9331.68
"1962-02-13",9331.68
"1962-02-14",9158.42
"1962-02-15",9108.91
"1962-02-16",9108.91
"1962-02-19",9257.43
"1962-02-20",9207.92
"1962-02-21",9158.42
"1962-02-23",9059.41
"1962-02-26",9207.92
"1962-02-27",9257.43
"1962-02-28",9084.16
"1962-03-01",9034.65
"1962-03-02",9133.66
"1962-03-05",9009.9
"1962-03-06",9207.92
"1962-03-07",9084.16
"1962-03-08",9108.91
"1962-03-09",9009.9
"1962-03-12",9207.92
"1962-03-13",9301.58
"1962-03-14",9314.47
"1962-03-15",9264.92
"1962-03-16",9264.92
"1962-03-19",9314.47
"1962-03-20",9413.56
"1962-03-21",9537.42
"1962-03-22",9636.51
"1962-03-23",9809.92
"1962-03-26",9686.05
"1962-03-27",9611.74
"1962-03-28",9537.42
"1962-03-29",9562.19
"1962-03-30",9413.56
"1962-04-02",9537.42
"1962-04-03",9240.15
"1962-04-04",9352.12
"1962-04-05",9364.01
"1962-04-06",9512.65
"1962-04-09",9537.42
"1962-04-10",9537.42
"1962-04-11",9314.47
"1962-04-12",9141.06
"1962-04-13",9413.56
"1962-04-16",9439.32
"1962-04-17",9487.87
"1962-04-18",9537.42
"1962-04-19",9550.3
"1962-04-23",9562.19
"1962-04-24",9611.74
"1962-04-25",9487.87
"1962-04-26",9439.32
"1962-04-27",9537.42
"1962-04-30",9165.83
"1962-05-01",9289.69
"1962-05-02",9400.67
"1962-05-03",9512.65
"1962-05-04",9439.32
"1962-05-07",9339.24
"1962-05-08",9228.26
"1962-05-09",9041.97
"1962-05-10",8967.65
"1962-05-11",8670.38
"1962-05-14",8521.75
"1962-05-15",8942.88
"1962-05-16",8967.65
"1962-05-17",8868.56
"1962-05-18",8893.33
"1962-05-21",8881.44
"1962-05-22",8620.84
"1962-05-23",8521.75
"1962-05-24",8348.34
"1962-05-25",8249.25
"1962-05-28",7815.23
"1962-05-29",8001.52
"1962-05-31",8323.57
"1962-06-01",8224.48
"1962-06-04",7580.39
"1962-06-05",7877.66
"1962-06-06",7976.75
"1962-06-07",8001.52
"1962-06-08",8174.93
"1962-06-11",8132.92
"1962-06-12",7798.67
"1962-06-13",7698.5
"1962-06-14",7587.42
"1962-06-15",7909.76
"1962-06-18",7872.07
"1962-06-19",7760.98
"1962-06-20",7648.91
"1962-06-21",7549.73
"1962-06-22",7438.64
"1962-06-25",7364.26
"1962-06-26",7339.46
"1962-06-27",7314.67
"1962-06-28",7661.8
"1962-06-29",7587.42
"1962-07-02",7785.78
"1962-07-03",7835.37
"1962-07-05",7872.07
"1962-07-06",7760.98
"1962-07-09",7909.76
"1962-07-10",7934.55
"1962-07-11",7984.14
"1962-07-12",8058.53
"1962-07-13",8021.83
"1962-07-16",8033.73
"1962-07-17",7984.14
"1962-07-18",7921.66
"1962-07-19",7996.04
"1962-07-20",8045.64
"1962-07-23",8083.33
"1962-07-24",7984.14
"1962-07-25",8132.92
"1962-07-26",8182.51
"1962-07-27",8244.99
"1962-07-30",8331.28
"1962-07-31",8504.85
"1962-08-01",8356.08
"1962-08-02",8529.64
"1962-08-03",8579.23
"1962-08-06",8430.46
"1962-08-07",8331.28
"1962-08-08",8306.48
"1962-08-09",8207.3
"1962-08-10",8256.89
"1962-08-13",8207.3
"1962-08-14",8405.67
"1962-08-15",8529.64
"1962-08-16",8480.05
"1962-08-17",8480.05
"1962-08-20",8579.23
"1962-08-21",8579.23
"1962-08-22",8554.44
"1962-08-23",8591.14
"1962-08-24",8591.14
"1962-08-27",8529.64
"1962-08-28",8405.67
"1962-08-29",8331.28
