"Date","MCD"
"1970-01-02",10
"1970-01-05",10.17
"1970-01-06",10.23
"1970-01-07",10.17
"1970-01-08",10.17
"1970-01-09",9.89
"1970-01-12",9.49
"1970-01-13",9.32
"1970-01-14",9.35
"1970-01-15",9.29
"1970-01-16",9.21
"1970-01-19",8.84
"1970-01-20",9.1
"1970-01-21",9.04
"1970-01-22",8.87
"1970-01-23",8.95
"1970-01-26",8.81
"1970-01-27",8.81
"1970-01-28",8.67
"1970-01-29",8.42
"1970-01-30",8.53
"1970-02-02",8.81
"1970-02-03",9.15
"1970-02-04",9.38
"1970-02-05",9.49
"1970-02-06",10
"1970-02-09",9.97
"1970-02-10",9.75
"1970-02-11",9.69
"1970-02-12",9.58
"1970-02-13",9.75
"1970-02-16",9.75
"1970-02-17",9.6
"1970-02-18",9.97
"1970-02-19",10.06
"1970-02-20",9.91
"1970-02-24",9.6
"1970-02-25",10.17
"1970-02-26",10.14
"1970-02-27",10.2
"1970-03-02",10.06
"1970-03-03",10.17
"1970-03-04",10.06
"1970-03-05",9.86
"1970-03-06",9.89
"1970-03-09",9.8
"1970-03-10",10.08
"1970-03-11",9.91
"1970-03-12",9.72
"1970-03-13",9.18
"1970-03-16",9.15
"1970-03-17",9.44
"1970-03-18",9.72
"1970-03-19",8.64
"1970-03-20",8.64
"1970-03-23",9.18
"1970-03-24",9.38
"1970-03-25",9.6
"1970-03-26",9.46
"1970-03-30",9.35
"1970-03-31",9.15
"1970-04-01",9.15
"1970-04-02",9.72
"1970-04-03",9.12
"1970-04-06",8.93
"1970-04-07",8.93
"1970-04-08",8.84
"1970-04-09",8.59
"1970-04-10",8.36
"1970-04-13",8.14
"1970-04-14",8.14
"1970-04-15",7.83
"1970-04-16",7.88
"1970-04-17",7.85
"1970-04-20",8.31
"1970-04-21",8.39
"1970-04-22",8.11
"1970-04-23",8.05
"1970-04-24",8.02
"1970-04-27",8.05
"1970-04-28",8.05
"1970-04-29",8.47
"1970-04-30",8.25
"1970-05-01",8.47
"1970-05-04",8.28
"1970-05-05",7.83
"1970-05-06",7.94
"1970-05-07",7.97
"1970-05-08",7.71
"1970-05-11",7.23
"1970-05-12",7.03
"1970-05-13",7.01
"1970-05-14",6.98
"1970-05-15",7.2
"1970-05-18",7.48
"1970-05-19",7.12
"1970-05-20",6.92
"1970-05-21",6.67
"1970-05-22",6.52
"1970-05-25",6.52
"1970-05-26",6.27
"1970-05-27",7.29
"1970-05-28",7.34
"1970-05-29",7.34
"1970-06-01",8.02
"1970-06-02",8.28
"1970-06-03",8.28
"1970-06-04",8.14
"1970-06-05",7.88
"1970-06-08",7.63
"1970-06-09",7.6
"1970-06-10",7.18
"1970-06-11",6.95
"1970-06-12",7.37
"1970-06-15",7.51
"1970-06-16",7.48
"1970-06-17",7.48
"1970-06-18",7.66
"1970-06-19",7.99
"1970-06-22",7.94
"1970-06-23",7.66
"1970-06-24",7.26
"1970-06-25",7.37
"1970-06-26",7.34
"1970-06-29",7.57
"1970-06-30",7.54
"1970-07-01",7.51
"1970-07-02",7.48
"1970-07-06",7.29
"1970-07-07",7.2
"1970-07-08",7.4
"1970-07-09",7.77
"1970-07-10",7.77
"1970-07-13",7.68
"1970-07-14",7.51
"1970-07-15",7.74
"1970-07-16",8.14
"1970-07-17",8.36
"1970-07-20",8.36
"1970-07-21",8.25
"1970-07-22",8.28
"1970-07-23",8.42
"1970-07-24",8.36
"1970-07-27",8.45
"1970-07-28",8.5
"1970-07-29",8.67
"1970-07-30",8.7
"1970-07-31",8.19
"1970-08-03",7.97
"1970-08-04",7.68
"1970-08-05",7.34
"1970-08-06",7.32
"1970-08-07",7.48
"1970-08-10",7.34
"1970-08-11",7.34
"1970-08-12",7.2
"1970-08-13",7.03
"1970-08-14",6.89
"1970-08-17",6.7
"1970-08-18",6.89
"1970-08-19",7.06
"1970-08-20",7.06
"1970-08-21",7.68
"1970-08-24",7.97
"1970-08-25",8.33
"1970-08-26",8.25
"1970-08-27",8.11
"1970-08-28",8.14
"1970-08-31",8.02
"1970-09-01",8.02
"1970-09-02",8.05
"1970-09-03",8.42
"1970-09-04",8.36
"1970-09-08",8.76
"1970-09-09",8.79
"1970-09-10",8.84
"1970-09-11",9.12
"1970-09-14",9.1
"1970-09-15",9.01
"1970-09-16",9.07
"1970-09-17",8.98
"1970-09-18",9.27
"1970-09-21",9.24
"1970-09-22",9.04
"1970-09-23",9.21
"1970-09-24",9.35
"1970-09-25",9.41
"1970-09-28",9.44
"1970-09-29",9.69
"1970-09-30",9.72
"1970-10-01",9.58
"1970-10-02",9.72
"1970-10-05",9.6
"1970-10-06",9.6
"1970-10-07",9.35
"1970-10-08",9.1
"1970-10-09",9.04
"1970-10-12",9.1
"1970-10-13",9.32
"1970-10-14",9.41
"1970-10-15",9.66
"1970-10-16",9.49
"1970-10-19",9.27
"1970-10-20",9.46
"1970-10-21",9.49
"1970-10-22",9.63
"1970-10-23",9.72
"1970-10-26",9.75
"1970-10-27",9.69
"1970-10-28",9.75
"1970-10-29",9.72
"1970-10-30",9.63
"1970-11-02",9.44
"1970-11-03",9.27
"1970-11-04",9.6
"1970-11-05",9.52
"1970-11-06",9.24
"1970-11-09",9.15
"1970-11-10",9.18
"1970-11-11",9.12
"1970-11-12",8.95
"1970-11-13",8.9
"1970-11-16",8.56
"1970-11-17",8.73
"1970-11-18",8.47
"1970-11-19",8.59
"1970-11-20",8.9
"1970-11-23",9.07
"1970-11-24",9.1
"1970-11-25",9.12
"1970-11-27",9.44
"1970-11-30",9.8
"1970-12-01",9.72
"1970-12-02",9.89
"1970-12-03",9.91
"1970-12-04",10.06
"1970-12-07",9.86
"1970-12-08",10.11
"1970-12-09",9.94
"1970-12-10",9.91
"1970-12-11",9.91
"1970-12-14",10
"1970-12-15",10.03
"1970-12-16",10.06
"1970-12-17",10.31
"1970-12-18",10.42
"1970-12-21",10.28
"1970-12-22",10.06
"1970-12-23",10.26
"1970-12-24",10.31
"1970-12-28",10.17
"1970-12-29",10.4
"1970-12-30",10.48
"1970-12-31",10.48
"1971-01-04",10.08
"1971-01-05",10.23
"1971-01-06",10.17
"1971-01-07",10.14
"1971-01-08",10.03
"1971-01-11",10.11
"1971-01-12",10.28
"1971-01-13",10.31
"1971-01-14",10.4
"1971-01-15",10.45
"1971-01-18",10.79
"1971-01-19",10.82
"1971-01-20",10.87
"1971-01-21",11.04
"1971-01-22",11.27
"1971-01-25",11.3
"1971-01-26",11.41
"1971-01-27",11.19
"1971-01-28",11.22
"1971-01-29",11.53
"1971-02-01",11.53
"1971-02-02",11.58
"1971-02-03",11.64
"1971-02-04",11.69
"1971-02-05",12.15
"1971-02-08",12.18
"1971-02-09",12.03
"1971-02-10",12.09
"1971-02-11",12.06
"1971-02-12",12.15
"1971-02-16",12.09
"1971-02-17",12.29
"1971-02-18",12.23
"1971-02-19",12.18
"1971-02-22",11.98
"1971-02-23",12.18
"1971-02-24",12.37
"1971-02-25",12.37
"1971-02-26",12.54
"1971-03-01",13.05
"1971-03-02",13.16
"1971-03-03",13.11
"1971-03-04",13.31
"1971-03-05",13.42
"1971-03-08",13.79
"1971-03-09",14.27
"1971-03-10",14.27
"1971-03-11",13.84
"1971-03-12",13.84
"1971-03-15",14.32
"1971-03-16",14.41
"1971-03-17",14.52
"1971-03-18",14.43
"1971-03-19",14.75
"1971-03-22",14.75
"1971-03-23",14.89
"1971-03-24",14.52
"1971-03-25",14.63
"1971-03-26",14.92
"1971-03-29",15.25
"1971-03-30",15.37
"1971-03-31",15.48
"1971-04-01",15.48
"1971-04-02",15.79
"1971-04-05",15.85
"1971-04-06",15.59
"1971-04-07",15.88
"1971-04-08",16.02
"1971-04-12",16.21
"1971-04-13",16.55
"1971-04-14",16.47
"1971-04-15",16.24
"1971-04-16",16.27
"1971-04-19",16.64
"1971-04-20",16.47
"1971-04-21",16.58
"1971-04-22",16.38
"1971-04-23",16.38
"1971-04-26",16.84
"1971-04-27",16.95
"1971-04-28",17.34
"1971-04-29",17.09
"1971-04-30",16.95
"1971-05-03",16.95
"1971-05-04",16.95
"1971-05-05",16.78
"1971-05-06",17.12
"1971-05-07",17.06
"1971-05-10",16.75
"1971-05-11",16.87
"1971-05-12",17.06
"1971-05-13",17.57
"1971-05-14",18.05
"1971-05-17",17.46
"1971-05-18",17.46
"1971-05-19",17.57
"1971-05-20",17.54
"1971-05-21",17.48
"1971-05-24",17.51
"1971-05-25",17.6
"1971-05-26",17.63
"1971-05-27",17.74
"1971-05-28",17.85
"1971-06-01",18.08
"1971-06-02",18.87
"1971-06-03",19.55
"1971-06-04",18.81
"1971-06-07",18.87
"1971-06-08",18.64
"1971-06-09",18.53
"1971-06-10",18.84
"1971-06-11",18.73
"1971-06-14",18.81
"1971-06-15",19.45
"1971-06-16",19.92
"1971-06-17",19.83
"1971-06-18",18.77
"1971-06-21",17.84
"1971-06-22",18.18
"1971-06-23",18.52
"1971-06-24",18.81
"1971-06-25",19.75
"1971-06-28",19.87
"1971-06-29",20.34
"1971-06-30",20.25
"1971-07-01",20
"1971-07-02",20
"1971-07-06",20.17
"1971-07-07",20.3
"1971-07-08",20.17
"1971-07-09",20.04
"1971-07-12",20.13
"1971-07-13",19.79
"1971-07-14",19.32
"1971-07-15",19.15
"1971-07-16",19.07
"1971-07-19",19.32
"1971-07-20",19.32
"1971-07-21",19.7
"1971-07-22",19.66
"1971-07-23",19.07
"1971-07-26",18.64
"1971-07-27",18.73
"1971-07-28",18.56
"1971-07-29",18.35
"1971-07-30",18.31
"1971-08-02",18.98
"1971-08-03",18.35
"1971-08-04",17.93
"1971-08-05",18.18
"1971-08-06",18.64
"1971-08-09",19.11
"1971-08-10",19.28
"1971-08-11",19.66
"1971-08-12",19.58
"1971-08-13",19.49
"1971-08-16",20.13
"1971-08-17",20.3
"1971-08-18",19.32
"1971-08-19",19.19
"1971-08-20",19.66
"1971-08-23",19.7
"1971-08-24",19.96
"1971-08-25",19.7
"1971-08-26",19.32
"1971-08-27",19.92
"1971-08-30",20
"1971-08-31",19.92
"1971-09-01",19.83
"1971-09-02",20.25
"1971-09-03",21.06
"1971-09-07",21.65
"1971-09-08",21.44
"1971-09-09",21.4
"1971-09-10",21.91
"1971-09-13",21.61
"1971-09-14",21.69
"1971-09-15",21.99
"1971-09-16",21.82
"1971-09-17",21.78
"1971-09-20",21.78
"1971-09-21",21.02
"1971-09-22",20.34
"1971-09-23",20.08
"1971-09-24",20.51
"1971-09-27",20.76
"1971-09-28",21.02
"1971-09-29",20.85
"1971-09-30",20.93
"1971-10-01",21.19
"1971-10-04",21.1
"1971-10-05",21.91
"1971-10-06",22.25
"1971-10-07",22.54
"1971-10-08",22.46
"1971-10-11",22.5
"1971-10-12",22.03
"1971-10-13",21.78
"1971-10-14",21.27
"1971-10-15",21.14
"1971-10-18",21.27
"1971-10-19",21.31
"1971-10-20",21.1
"1971-10-21",20.68
"1971-10-22",20.81
"1971-10-25",20.51
"1971-10-26",20.59
"1971-10-27",20.04
"1971-10-28",20.38
"1971-10-29",21.1
"1971-11-01",20.98
"1971-11-02",20.68
"1971-11-03",21.61
"1971-11-04",21.74
"1971-11-05",21.82
"1971-11-08",21.82
"1971-11-09",22.33
"1971-11-10",21.74
"1971-11-11",21.19
"1971-11-12",21.19
"1971-11-15",21.19
"1971-11-16",21.61
"1971-11-17",21.36
"1971-11-18",21.14
"1971-11-19",20.59
"1971-11-22",20.68
"1971-11-23",20.85
"1971-11-24",20.51
"1971-11-26",21.02
"1971-11-29",22.03
"1971-11-30",22.71
"1971-12-01",23.39
"1971-12-02",23.18
"1971-12-03",23.14
"1971-12-06",23.56
"1971-12-07",24.58
"1971-12-08",25.21
"1971-12-09",24.83
"1971-12-10",24.49
"1971-12-13",24.41
"1971-12-14",24.15
"1971-12-15",24.07
"1971-12-16",24.92
"1971-12-17",25.25
"1971-12-20",26.19
"1971-12-21",26.19
"1971-12-22",25.8
"1971-12-23",25.17
"1971-12-27",24.83
"1971-12-28",24.87
"1971-12-29",25.13
"1971-12-30",25.08
"1971-12-31",25.68
"1972-01-03",25.47
"1972-01-04",25.55
"1972-01-05",25.38
"1972-01-06",25.68
"1972-01-07",26.4
"1972-01-10",26.61
"1972-01-11",26.36
"1972-01-12",25.76
"1972-01-13",25.72
"1972-01-14",25.42
"1972-01-17",25.55
"1972-01-18",25.59
"1972-01-19",25.59
"1972-01-20",25.42
"1972-01-21",25.63
"1972-01-24",25.47
"1972-01-25",25.51
"1972-01-26",25.8
"1972-01-27",26.86
"1972-01-28",27.07
"1972-01-31",27.97
"1972-02-01",28.6
"1972-02-02",28.98
"1972-02-03",28.98
"1972-02-04",28.81
"1972-02-07",28.43
"1972-02-08",28.14
"1972-02-09",28.22
"1972-02-10",28.52
"1972-02-11",29.45
"1972-02-14",29.66
"1972-02-15",29.92
"1972-02-16",30.51
"1972-02-17",30.72
"1972-02-18",30
"1972-02-22",30.13
"1972-02-23",30.13
"1972-02-24",29.66
"1972-02-25",29.58
"1972-02-28",29.58
"1972-02-29",30.59
"1972-03-01",30.55
"1972-03-02",30.85
"1972-03-03",31.19
"1972-03-06",31.69
"1972-03-07",31.31
"1972-03-08",31.86
"1972-03-09",31.78
"1972-03-10",30.93
"1972-03-13",30.21
"1972-03-14",30.59
"1972-03-15",30.42
"1972-03-16",31.02
"1972-03-17",31.19
"1972-03-20",31.15
"1972-03-21",30.34
"1972-03-22",30.68
"1972-03-23",31.69
"1972-03-24",32.03
"1972-03-27",32.03
"1972-03-28",32.2
"1972-03-29",32.42
"1972-03-30",32.8
"1972-04-03",34.15
"1972-04-04",34.32
"1972-04-05",33.9
"1972-04-06",33.85
"1972-04-07",33.98
"1972-04-10",33.85
"1972-04-11",33.9
"1972-04-12",33.98
"1972-04-13",33.94
"1972-04-14",34.58
"1972-04-17",35.59
"1972-04-18",36.44
"1972-04-19",35.51
"1972-04-20",34.45
"1972-04-21",34.66
"1972-04-24",34.83
"1972-04-25",35
"1972-04-26",35.89
"1972-04-27",36.06
"1972-04-28",36.02
"1972-05-01",36.15
"1972-05-02",36.53
"1972-05-03",36.27
"1972-05-04",36.86
"1972-05-05",37.29
"1972-05-08",37.33
"1972-05-09",35.76
"1972-05-10",35.98
"1972-05-11",35.51
"1972-05-12",35.72
"1972-05-15",35.76
"1972-05-16",36.27
"1972-05-17",36.1
"1972-05-18",38.05
"1972-05-19",38.9
"1972-05-22",39.58
"1972-05-23",39.58
"1972-05-24",40.68
"1972-05-25",41.19
"1972-05-26",41.53
"1972-05-30",41.32
"1972-05-31",39.75
"1972-06-01",38.94
"1972-06-02",38.31
"1972-06-05",37.8
"1972-06-06",37.04
"1972-06-07",37.29
"1972-06-08",38.14
"1972-06-09",38.22
"1972-06-12",39.15
"1972-06-13",40.17
"1972-06-14",41.61
"1972-06-15",41.36
"1972-06-16",42.46
"1972-06-19",41.95
"1972-06-20",41.27
"1972-06-21",40.42
"1972-06-22",40.77
"1972-06-23",40.51
"1972-06-26",40.85
"1972-06-27",40.17
"1972-06-28",39.83
"1972-06-29",39.74
"1972-06-30",40.17
"1972-07-03",41.44
"1972-07-05",41.53
"1972-07-06",42.28
"1972-07-07",41.02
"1972-07-10",39.66
"1972-07-11",39.32
"1972-07-12",39.58
"1972-07-13",39.66
"1972-07-14",39.23
"1972-07-17",35.51
"1972-07-18",37.37
"1972-07-19",38.05
"1972-07-20",37.88
"1972-07-21",39.15
"1972-07-24",40
"1972-07-25",39.32
"1972-07-26",38.98
"1972-07-27",37.29
"1972-07-28",38.14
"1972-07-31",39.15
"1972-08-01",39.74
"1972-08-02",39.91
"1972-08-03",39.32
"1972-08-04",38.47
"1972-08-07",38.39
"1972-08-08",38.64
"1972-08-09",38.73
"1972-08-10",40
"1972-08-11",42.12
"1972-08-14",42.96
"1972-08-15",42.03
"1972-08-16",41.36
"1972-08-17",41.69
"1972-08-18",41.53
"1972-08-21",40.85
"1972-08-22",40.68
"1972-08-23",40.09
"1972-08-24",39.07
"1972-08-25",38.98
"1972-08-28",38.81
"1972-08-29",38.64
"1972-08-30",38.64
"1972-08-31",39.07
"1972-09-01",40.17
"1972-09-05",39.91
"1972-09-06",40.51
"1972-09-07",40.51
"1972-09-08",39.66
"1972-09-11",38.98
"1972-09-12",38.73
"1972-09-13",39.15
"1972-09-14",38.47
"1972-09-15",38.47
"1972-09-18",38.9
"1972-09-19",38.14
"1972-09-20",37.8
"1972-09-21",37.29
"1972-09-22",37.37
"1972-09-25",37.12
"1972-09-26",37.04
"1972-09-27",38.81
"1972-09-28",38.73
"1972-09-29",38.14
"1972-10-02",37.72
"1972-10-03",38.64
"1972-10-04",38.81
"1972-10-05",37.46
"1972-10-06",38.9
"1972-10-09",39.32
"1972-10-10",39.23
"1972-10-11",38.73
"1972-10-12",38.47
"1972-10-13",38.64
"1972-10-16",38.05
"1972-10-17",39.32
"1972-10-18",39.32
"1972-10-19",39.58
"1972-10-20",39.49
"1972-10-23",39.91
"1972-10-24",41.53
"1972-10-25",41.19
"1972-10-26",41.61
"1972-10-27",41.44
"1972-10-30",41.61
"1972-10-31",43.3
"1972-11-01",43.82
"1972-11-02",43.47
"1972-11-03",43.39
"1972-11-06",42.12
"1972-11-08",40.93
"1972-11-09",41.78
"1972-11-10",41.86
"1972-11-13",42.03
"1972-11-14",41.86
"1972-11-15",40.85
"1972-11-16",41.95
"1972-11-17",42.2
"1972-11-20",42.88
"1972-11-21",42.96
"1972-11-22",43.22
"1972-11-24",42.37
"1972-11-27",42.63
"1972-11-28",42.03
"1972-11-29",42.96
"1972-11-30",44.66
"1972-12-01",45.42
"1972-12-04",45.84
"1972-12-05",46.35
"1972-12-06",47.63
"1972-12-07",47.29
"1972-12-08",47.63
"1972-12-11",46.52
"1972-12-12",46.19
"1972-12-13",46.86
"1972-12-14",48.05
"1972-12-15",47.97
"1972-12-18",48.14
"1972-12-19",49.91
"1972-12-20",50.51
"1972-12-21",49.66
"1972-12-22",50.51
"1972-12-26",51.78
"1972-12-27",52.03
"1972-12-29",51.69
"1973-01-02",51.1
"1973-01-03",50.43
"1973-01-04",50.17
"1973-01-05",50.08
"1973-01-08",50.17
"1973-01-09",49.91
"1973-01-10",49.32
"1973-01-11",50.51
"1973-01-12",49.66
"1973-01-15",48.47
"1973-01-16",49.58
"1973-01-17",50.51
"1973-01-18",50.68
"1973-01-19",49.91
"1973-01-22",49.32
"1973-01-23",49.58
"1973-01-24",49.32
"1973-01-26",49.4
"1973-01-29",49.24
"1973-01-30",48.89
"1973-01-31",48.89
"1973-02-01",46.78
"1973-02-02",45.08
"1973-02-05",44.66
"1973-02-06",45.42
"1973-02-07",45.59
"1973-02-08",46.52
"1973-02-09",49.83
"1973-02-12",49.83
"1973-02-13",50.68
"1973-02-14",49.49
"1973-02-15",48.73
"1973-02-16",47.88
"1973-02-20",47.97
"1973-02-21",47.12
"1973-02-22",47.54
"1973-02-23",47.03
"1973-02-26",45.84
"1973-02-27",42.63
"1973-02-28",43.47
"1973-03-01",43.9
"1973-03-02",45.42
"1973-03-05",45.76
"1973-03-06",47.46
"1973-03-07",47.21
"1973-03-08",46.44
"1973-03-09",46.61
"1973-03-12",46.86
"1973-03-13",46.95
"1973-03-14",46.78
"1973-03-15",46.35
"1973-03-16",46.19
"1973-03-19",45.25
"1973-03-20",45.17
"1973-03-21",42.71
"1973-03-22",42.2
"1973-03-23",42.63
"1973-03-26",44.92
"1973-03-27",45.51
"1973-03-28",45.76
"1973-03-29",46.61
"1973-03-30",45.17
"1973-04-02",45
"1973-04-03",43.98
"1973-04-04",43.05
"1973-04-05",43.56
"1973-04-06",46.27
"1973-04-09",46.52
"1973-04-10",45.51
"1973-04-11",45.34
"1973-04-12",45
"1973-04-13",44.41
"1973-04-16",44.41
"1973-04-17",43.82
"1973-04-18",44.24
"1973-04-19",44.49
"1973-04-23",43.73
"1973-04-24",42.71
"1973-04-25",40.51
"1973-04-26",41.53
"1973-04-27",40.09
"1973-04-30",40.26
"1973-05-01",40.85
