"Date","XLU"
"1926-06-30",10000
"1926-07-01",10060.96
"1926-07-02",10108.21
"1926-07-06",10181.97
"1926-07-07",10199.24
"1926-07-08",10178.81
"1926-07-09",10103.45
"1926-07-12",10182.35
"1926-07-13",10202.67
"1926-07-14",10255.69
"1926-07-15",10216.68
"1926-07-16",10249.34
"1926-07-19",10303.7
"1926-07-20",10311.9
"1926-07-21",10282.99
"1926-07-22",10241.82
"1926-07-23",10268.42
"1926-07-26",10248.88
"1926-07-27",10283.69
"1926-07-28",10386.49
"1926-07-29",10439.42
"1926-07-30",10529.16
"1926-08-02",10681.45
"1926-08-03",10650.43
"1926-08-04",10698.32
"1926-08-05",10778.52
"1926-08-06",10773.09
"1926-08-09",10733.23
"1926-08-10",10608.69
"1926-08-11",10514.23
"1926-08-12",10576.23
"1926-08-13",10564.56
"1926-08-16",10627.92
"1926-08-17",10551.36
"1926-08-18",10532.33
"1926-08-19",10488.06
"1926-08-20",10462.85
"1926-08-23",10485.84
"1926-08-24",10429.18
"1926-08-25",10397.85
"1926-08-26",10449.8
"1926-08-27",10481.11
"1926-08-30",10511.44
"1926-08-31",10520.86
"1926-09-01",10681.79
"1926-09-02",10713.8
"1926-09-03",10846.61
"1926-09-07",10830.3
"1926-09-08",10793.44
"1926-09-09",10740.51
"1926-09-10",10678.18
"1926-09-13",10678.07
"1926-09-14",10745.3
"1926-09-15",10700.14
"1926-09-16",10639.11
"1926-09-17",10531.61
"1926-09-20",10493.4
"1926-09-21",10523.79
"1926-09-22",10552.17
"1926-09-23",10611.22
"1926-09-24",10697.14
"1926-09-27",10716.22
"1926-09-28",10768.69
"1926-09-29",10749.27
"1926-09-30",10735.25
"1926-10-01",10766.35
"1926-10-04",10580.41
"1926-10-05",10472.45
"1926-10-06",10407.48
"1926-10-07",10234.68
"1926-10-08",10333.92
"1926-10-11",10174.33
"1926-10-13",10227.2
"1926-10-14",10288.53
"1926-10-15",10131.08
"1926-10-18",10280.52
"1926-10-19",10181.79
"1926-10-20",10154.26
"1926-10-21",10259.83
"1926-10-22",10232.09
"1926-10-25",10267.85
"1926-10-26",10304.78
"1926-10-27",10385.12
"1926-10-28",10383
"1926-10-29",10394.39
"1926-11-01",10388.11
"1926-11-03",10399.5
"1926-11-04",10430.66
"1926-11-05",10493.21
"1926-11-08",10533.02
"1926-11-09",10616.19
"1926-11-10",10619.34
"1926-11-11",10743.55
"1926-11-12",10733.84
"1926-11-15",10715.55
"1926-11-16",10727.3
"1926-11-17",10699.37
"1926-11-18",10668.3
"1926-11-19",10618.12
"1926-11-22",10749.04
"1926-11-23",10795.22
"1926-11-24",10825.41
"1926-11-26",10832.95
"1926-11-29",10819.91
"1926-11-30",10842.6
"1926-12-01",10847.98
"1926-12-02",10825.16
"1926-12-03",10911.72
"1926-12-06",10839.78
"1926-12-07",10814.81
"1926-12-08",10867.76
"1926-12-09",10893.81
"1926-12-10",10906.84
"1926-12-13",10949.3
"1926-12-14",10886.85
"1926-12-15",10910.76
"1926-12-16",10855.07
"1926-12-17",10865.89
"1926-12-20",10829.96
"1926-12-21",10808.27
"1926-12-22",10849.3
"1926-12-23",10847.09
"1926-12-24",10842.71
"1926-12-27",10861.11
"1926-12-28",10766.58
"1926-12-29",10827.91
"1926-12-30",10757.49
"1926-12-31",10820.92
"1927-01-03",10784.09
"1927-01-04",10850.91
"1927-01-05",10856.3
"1927-01-06",10837.8
"1927-01-07",10860.52
"1927-01-10",10887.63
"1927-01-11",10853.84
"1927-01-12",10860.31
"1927-01-13",10829.87
"1927-01-14",10793.01
"1927-01-17",10772.47
"1927-01-18",10796.13
"1927-01-19",10877.06
"1927-01-20",10915.09
"1927-01-21",10859.39
"1927-01-24",10768.08
"1927-01-25",10595.75
"1927-01-26",10593.6
"1927-01-27",10520.46
"1927-01-28",10532
"1927-01-31",10626.96
"1927-02-01",10616.3
"1927-02-02",10693.76
"1927-02-03",10672.33
"1927-02-04",10710.71
"1927-02-07",10668.88
"1927-02-08",10691.25
"1927-02-09",10646.3
"1927-02-10",10703.76
"1927-02-11",10712.28
"1927-02-14",10731.53
"1927-02-15",10669.24
"1927-02-16",10654.27
"1927-02-17",10645.71
"1927-02-18",10654.19
"1927-02-21",10790.95
"1927-02-23",10855.66
"1927-02-24",10929.44
"1927-02-25",11071.48
"1927-02-28",11109.1
"1927-03-01",11056.85
"1927-03-02",10952.88
"1927-03-03",11026.22
"1927-03-04",10986.49
"1927-03-07",10923.91
"1927-03-08",10949
"1927-03-09",10875.6
"1927-03-10",10974.53
"1927-03-11",10972.29
"1927-03-14",11042.55
"1927-03-15",10983.99
"1927-03-16",11049.85
"1927-03-17",11096.22
"1927-03-18",11060.67
"1927-03-21",11061.61
"1927-03-22",10975.29
"1927-03-23",11087.2
"1927-03-24",11205.79
"1927-03-25",11244.97
"1927-03-28",11212.34
"1927-03-29",11187.63
"1927-03-30",11128.3
"1927-03-31",11151.63
"1927-04-01",11157.16
"1927-04-04",11225.2
"1927-04-05",11225.16
"1927-04-06",11248.69
"1927-04-07",11264.4
"1927-04-08",11363.49
"1927-04-11",11492.13
"1927-04-12",11503.58
"1927-04-13",11513.9
"1927-04-14",11599.06
"1927-04-18",11588.38
"1927-04-19",11543.14
"1927-04-20",11559.26
"1927-04-21",11610.08
"1927-04-22",11606.56
"1927-04-25",11393.28
"1927-04-26",11476.41
"1927-04-27",11429.32
"1927-04-28",11342.42
"1927-04-29",11386.61
"1927-05-02",11455.6
"1927-05-03",11531.17
"1927-05-04",11600.31
"1927-05-05",11693.07
"1927-05-06",11767.87
"1927-05-09",11832.63
"1927-05-10",11814.84
"1927-05-11",11821.88
"1927-05-12",11808.84
"1927-05-13",11919.8
"1927-05-16",11837.54
"1927-05-17",11946.4
"1927-05-18",11997.73
"1927-05-19",12087.67
"1927-05-20",12213.34
"1927-05-23",12274.31
"1927-05-24",12248.49
"1927-05-25",12217.83
"1927-05-26",12232.45
"1927-05-27",12309.47
"1927-05-31",12395.67
"1927-06-01",12461.32
"1927-06-02",12559.72
"1927-06-03",12505.67
"1927-06-06",12682.48
"1927-06-07",12570.83
"1927-06-08",12515.47
"1927-06-09",12485.39
"1927-06-10",12386.71
"1927-06-14",12121.1
"1927-06-15",12220.45
"1927-06-16",12290.06
"1927-06-17",12317.06
"1927-06-20",12250.57
"1927-06-21",12184.37
"1927-06-22",12203.83
"1927-06-23",12068.32
"1927-06-24",12090
"1927-06-27",11959.59
"1927-06-28",11966.72
"1927-06-29",11954.71
"1927-06-30",11954.67
"1927-07-01",12026.36
"1927-07-05",12185.53
"1927-07-06",12315.87
"1927-07-07",12259.17
"1927-07-08",12295.9
"1927-07-11",12273.74
"1927-07-12",12258.97
"1927-07-13",12223.37
"1927-07-14",12260
"1927-07-15",12285.7
"1927-07-18",12345.93
"1927-07-19",12442.18
"1927-07-20",12500.62
"1927-07-21",12490.57
"1927-07-22",12395.6
"1927-07-25",12364.52
"1927-07-26",12413.93
"1927-07-27",12416.37
"1927-07-28",12446.12
"1927-07-29",12570.54
"1927-08-01",12668.73
"1927-08-02",12766.24
"1927-08-03",12689.6
"1927-08-04",12744.12
"1927-08-05",12732.6
"1927-08-08",12628.61
"1927-08-09",12739.7
"1927-08-10",13016.1
"1927-08-11",12876.78
"1927-08-12",12702.9
"1927-08-15",12894.1
"1927-08-16",12948.21
"1927-08-17",12970.18
"1927-08-18",12981.8
"1927-08-19",12980.46
"1927-08-22",13100.09
"1927-08-23",13085.64
"1927-08-24",13220.37
"1927-08-25",13195.21
"1927-08-26",13200.44
"1927-08-29",13122.62
"1927-08-30",13089.77
"1927-08-31",13020.35
"1927-09-01",13147.9
"1927-09-02",13363.48
"1927-09-06",13521.35
"1927-09-07",13810.66
"1927-09-08",13727.74
"1927-09-09",13538.25
"1927-09-12",13529.46
"1927-09-13",13662
"1927-09-14",13678.34
"1927-09-15",13607.17
"1927-09-16",13676.51
"1927-09-19",13732.31
"1927-09-20",13807.79
"1927-09-21",13860.21
"1927-09-22",13700.77
"1927-09-23",13904.86
"1927-09-26",13935.33
"1927-09-27",14045.37
"1927-09-28",13990.54
"1927-09-29",13970.9
"1927-09-30",14100.78
"1927-10-03",14225.09
"1927-10-04",14141.11
"1927-10-05",14083.08
"1927-10-06",14132.32
"1927-10-07",14132.27
"1927-10-10",13930.85
"1927-10-11",13817.96
"1927-10-13",13961.62
"1927-10-14",13888.97
"1927-10-17",13734.72
"1927-10-18",13854.16
"1927-10-19",13793.16
"1927-10-20",13648.28
"1927-10-21",13533.58
"1927-10-24",13462.84
"1927-10-25",13707.82
"1927-10-26",13732.44
"1927-10-27",13676.09
"1927-10-28",13513.3
"1927-10-31",13487.08
"1927-11-01",13549.07
"1927-11-02",13654.7
"1927-11-03",13773.45
"1927-11-04",13714.17
"1927-11-07",13793.78
"1927-11-09",13764.76
"1927-11-10",13767.47
"1927-11-11",13976.68
"1927-11-14",13924.97
"1927-11-15",13927.7
"1927-11-16",13901.19
"1927-11-17",13908.09
"1927-11-18",14030.43
"1927-11-21",14051.33
"1927-11-22",14127.16
"1927-11-23",14293.81
"1927-11-25",14483.86
"1927-11-28",14323.28
"1927-11-29",14340.42
"1927-11-30",14344.67
"1927-12-01",14272.9
"1927-12-02",14265.71
"1927-12-05",14202.73
"1927-12-06",14182.8
"1927-12-07",14091.98
"1927-12-08",13965.1
"1927-12-09",14048.84
"1927-12-12",14196.68
"1927-12-13",14298.85
"1927-12-14",14328.83
"1927-12-15",14443.4
"1927-12-16",14491.02
"1927-12-19",14480.82
"1927-12-20",14489.45
"1927-12-21",14427.1
"1927-12-22",14367.89
"1927-12-23",14385.08
"1927-12-27",14578.42
"1927-12-28",14606.07
"1927-12-29",14690.73
"1927-12-30",14662.77
"1928-01-03",14652.45
"1928-01-04",14608.44
"1928-01-05",14529.5
"1928-01-06",14583.21
"1928-01-09",14521.44
"1928-01-10",14469.12
"1928-01-11",14450.25
"1928-01-12",14610.6
"1928-01-13",14768.34
"1928-01-16",14527.01
"1928-01-17",14582.16
"1928-01-18",14628.77
"1928-01-19",14810.12
"1928-01-20",14910.77
"1928-01-23",14983.83
"1928-01-24",15075.17
"1928-01-25",15103.76
"1928-01-26",15301.57
"1928-01-27",15471.36
"1928-01-30",15389.4
"1928-01-31",15524.77
"1928-02-01",15512.3
"1928-02-02",15647.2
"1928-02-03",15423.39
"1928-02-06",15498.99
"1928-02-07",15533.03
"1928-02-08",15623.07
"1928-02-09",15693.31
"1928-02-10",15636.76
"1928-02-14",15541.31
"1928-02-15",15563.01
"1928-02-16",15548.95
"1928-02-17",15231.7
"1928-02-20",15153.75
"1928-02-21",15290.08
"1928-02-23",15308.37
"1928-02-24",15315.97
"1928-02-27",15282.11
"1928-02-28",15263.71
"1928-02-29",15402.56
"1928-03-01",15391.72
"1928-03-02",15485.56
"1928-03-05",15576.87
"1928-03-06",15578.37
"1928-03-07",15623.49
"1928-03-08",15714.05
"1928-03-09",15882.14
"1928-03-12",15722.07
"1928-03-13",15580.52
"1928-03-14",15616.3
"1928-03-15",15655.28
"1928-03-16",15692.8
"1928-03-19",16211.49
"1928-03-20",16238.99
"1928-03-21",16203.2
"1928-03-22",16169.12
"1928-03-23",16118.94
"1928-03-26",16063.88
"1928-03-27",16112.01
"1928-03-28",16161.9
"1928-03-29",16362.25
"1928-03-30",16553.63
"1928-04-02",16283.19
"1928-04-03",16291.27
"1928-04-04",16380.82
"1928-04-05",16421.71
"1928-04-09",16502.12
"1928-04-10",16465.75
"1928-04-11",16852.64
"1928-04-12",16963.81
"1928-04-13",17411.59
"1928-04-16",17577.99
"1928-04-17",17551.56
"1928-04-18",17519.91
"1928-04-19",17654.75
"1928-04-20",17361.62
"1928-04-23",17210.51
"1928-04-24",17293.06
"1928-04-25",17420.97
"1928-04-26",17652.6
"1928-04-27",17982.64
"1928-04-30",18197.13
"1928-05-01",18291.69
"1928-05-02",18456.25
"1928-05-03",18622.29
"1928-05-04",19059.85
"1928-05-07",19237.04
"1928-05-08",19160.02
"1928-05-09",18954.94
"1928-05-10",18935.92
"1928-05-11",19053.25
"1928-05-14",19207.52
"1928-05-15",19128.7
"1928-05-16",18847.44
"1928-05-17",18730.52
"1928-05-18",18545.02
"1928-05-21",18164.78
"1928-05-22",17937.65
"1928-05-23",18265.85
"1928-05-24",18457.58
"1928-05-25",18370.76
"1928-05-28",18161.27
"1928-05-29",18315.57
"1928-05-31",18467.53
"1928-06-01",18515.48
"1928-06-04",18377.01
"1928-06-05",18448.62
"1928-06-06",18258.53
"1928-06-07",18181.78
"1928-06-08",17912.62
"1928-06-11",17068.8
"1928-06-12",16693.23
"1928-06-13",17322.5
"1928-06-14",17563.22
"1928-06-15",17373.48
"1928-06-18",17041.41
"1928-06-19",16949.33
"1928-06-20",17217.07
"1928-06-21",17122.31
"1928-06-22",17156.49
"1928-06-25",17061.91
"1928-06-26",17235.88
"1928-06-27",17397.83
"1928-06-28",17456.92
