"Date","Staples"
"1926-06-30",10000
"1926-07-01",10001.96
"1926-07-02",10030.93
"1926-07-06",10054.97
"1926-07-07",10082.09
"1926-07-08",10151.62
"1926-07-09",10111.99
"1926-07-12",10207.19
"1926-07-13",10160.2
"1926-07-14",10123.59
"1926-07-15",10123.55
"1926-07-16",10134.65
"1926-07-19",10194.4
"1926-07-20",10148.49
"1926-07-21",10101.77
"1926-07-22",10060.32
"1926-07-23",10053.24
"1926-07-26",10090.38
"1926-07-27",10099.42
"1926-07-28",10165.03
"1926-07-29",10130.44
"1926-07-30",10155.73
"1926-08-02",10186.14
"1926-08-03",10258.43
"1926-08-04",10231.72
"1926-08-05",10242.93
"1926-08-06",10312.55
"1926-08-09",10374.48
"1926-08-10",10316.34
"1926-08-11",10295.67
"1926-08-12",10328.58
"1926-08-13",10345.07
"1926-08-16",10387.42
"1926-08-17",10358.29
"1926-08-18",10343.75
"1926-08-19",10275.45
"1926-08-20",10264.11
"1926-08-23",10306.2
"1926-08-24",10309.25
"1926-08-25",10272.1
"1926-08-26",10324.45
"1926-08-27",10388.43
"1926-08-30",10502.9
"1926-08-31",10555.38
"1926-09-01",10640.84
"1926-09-02",10584.41
"1926-09-03",10569.55
"1926-09-07",10636.1
"1926-09-08",10659.46
"1926-09-09",10658.36
"1926-09-10",10629.54
"1926-09-13",10610.38
"1926-09-14",10683.55
"1926-09-15",10656.81
"1926-09-16",10672.75
"1926-09-17",10598.01
"1926-09-20",10612.77
"1926-09-21",10649.87
"1926-09-22",10641.32
"1926-09-23",10620
"1926-09-24",10628.45
"1926-09-27",10665.42
"1926-09-28",10665.38
"1926-09-29",10637.61
"1926-09-30",10672.68
"1926-10-01",10703.59
"1926-10-04",10607.22
"1926-10-05",10527.63
"1926-10-06",10465.48
"1926-10-07",10397.42
"1926-10-08",10442.09
"1926-10-11",10325.42
"1926-10-13",10372.88
"1926-10-14",10524.29
"1926-10-15",10374.81
"1926-10-18",10331.09
"1926-10-19",10259.77
"1926-10-20",10225.88
"1926-10-21",10344.46
"1926-10-22",10375.46
"1926-10-25",10437.53
"1926-10-26",10445.84
"1926-10-27",10564.89
"1926-10-28",10577.53
"1926-10-29",10558.45
"1926-11-01",10574.2
"1926-11-03",10595.31
"1926-11-04",10618.58
"1926-11-05",10624.91
"1926-11-08",10688.71
"1926-11-09",10757.08
"1926-11-10",10706.48
"1926-11-11",10740.71
"1926-11-12",10790.07
"1926-11-15",10867.67
"1926-11-16",10869.81
"1926-11-17",10841.51
"1926-11-18",10831.71
"1926-11-19",10882.58
"1926-11-22",10965.35
"1926-11-23",11073.86
"1926-11-24",11047.25
"1926-11-26",11116.8
"1926-11-29",11016.9
"1926-11-30",11091.78
"1926-12-01",11077.32
"1926-12-02",11106.08
"1926-12-03",11092.71
"1926-12-06",11139.2
